title	act	scene	number	type	subtype	who	text
A Midsummer Night's Dream	1	1	1	direction	entrance	Theseus_MND,Hippolyta_MND,Philostrate_MND,ATTENDANTS_MND	Enter Theseus, Hippolyta, and Philostrate, with others.
A Midsummer Night's Dream	1	1	2	speech	verse	Theseus_MND	Now, fair Hippolyta, our nuptial hour
A Midsummer Night's Dream	1	1	3	speech	verse	Theseus_MND	Draws on apace. Four happy days bring in
A Midsummer Night's Dream	1	1	4	speech	verse	Theseus_MND	Another moon. But, O, methinks how slow
A Midsummer Night's Dream	1	1	5	speech	verse	Theseus_MND	This old moon wanes! She lingers my desires
A Midsummer Night's Dream	1	1	6	speech	verse	Theseus_MND	Like to a stepdame or a dowager
A Midsummer Night's Dream	1	1	7	speech	verse	Theseus_MND	Long withering out a young man’s revenue.
A Midsummer Night's Dream	1	1	8	speech	verse	Hippolyta_MND	Four days will quickly steep themselves in night;
A Midsummer Night's Dream	1	1	9	speech	verse	Hippolyta_MND	Four nights will quickly dream away the time;
A Midsummer Night's Dream	1	1	10	speech	verse	Hippolyta_MND	And then the moon, like to a silver bow
A Midsummer Night's Dream	1	1	11	speech	verse	Hippolyta_MND	New-bent in heaven, shall behold the night
A Midsummer Night's Dream	1	1	12	speech	verse	Hippolyta_MND	Of our solemnities.
A Midsummer Night's Dream	1	1	13	speech	verse	Theseus_MND	Go, Philostrate,
A Midsummer Night's Dream	1	1	14	speech	verse	Theseus_MND	Stir up the Athenian youth to merriments.
A Midsummer Night's Dream	1	1	15	speech	verse	Theseus_MND	Awake the pert and nimble spirit of mirth.
A Midsummer Night's Dream	1	1	16	speech	verse	Theseus_MND	Turn melancholy forth to funerals;
A Midsummer Night's Dream	1	1	17	speech	verse	Theseus_MND	The pale companion is not for our pomp.
A Midsummer Night's Dream	1	1	18	direction	exit	Theseus_MND	Philostrate exits.
A Midsummer Night's Dream	1	1	19	speech	verse	Theseus_MND	Hippolyta, I wooed thee with my sword
A Midsummer Night's Dream	1	1	20	speech	verse	Theseus_MND	And won thy love doing thee injuries,
A Midsummer Night's Dream	1	1	21	speech	verse	Theseus_MND	But I will wed thee in another key,
A Midsummer Night's Dream	1	1	22	speech	verse	Theseus_MND	With pomp, with triumph, and with reveling.
A Midsummer Night's Dream	1	1	23	direction	entrance	Egeus_MND,Hermia_MND,Lysander_MND,Demetrius_MND	Enter Egeus and his daughter Hermia, and Lysander  and Demetrius.
A Midsummer Night's Dream	1	1	24	speech	verse	Egeus_MND	Happy be Theseus, our renownèd duke!
A Midsummer Night's Dream	1	1	25	speech	verse	Theseus_MND	Thanks, good Egeus. What’s the news with thee?
A Midsummer Night's Dream	1	1	26	speech	verse	Egeus_MND	Full of vexation come I, with complaint
A Midsummer Night's Dream	1	1	27	speech	verse	Egeus_MND	Against my child, my daughter Hermia.—
A Midsummer Night's Dream	1	1	28	speech	verse	Egeus_MND	Stand forth, Demetrius.—My noble lord,
A Midsummer Night's Dream	1	1	29	speech	verse	Egeus_MND	This man hath my consent to marry her.—
A Midsummer Night's Dream	1	1	30	speech	verse	Egeus_MND	Stand forth, Lysander.—And, my gracious duke,
A Midsummer Night's Dream	1	1	31	speech	verse	Egeus_MND	This man hath bewitched the bosom of my child.—
A Midsummer Night's Dream	1	1	32	speech	verse	Egeus_MND	Thou, thou, Lysander, thou hast given her rhymes
A Midsummer Night's Dream	1	1	33	speech	verse	Egeus_MND	And interchanged love tokens with my child.
