title	act	scene	number	type	subtype	who	text
All's Well That Ends Well	1	1	1	direction	entrance	Bertram_AWW	Enter young Bertram Count of Rossillion, his mother the Countess, and Helen, Lord Lafew, all in black.
All's Well That Ends Well	1	1	1	direction	entrance	Countess_AWW	Enter young Bertram Count of Rossillion, his mother the Countess, and Helen, Lord Lafew, all in black.
All's Well That Ends Well	1	1	1	direction	entrance	Helen_AWW	Enter young Bertram Count of Rossillion, his mother the Countess, and Helen, Lord Lafew, all in black.
All's Well That Ends Well	1	1	1	direction	entrance	Lafew_AWW	Enter young Bertram Count of Rossillion, his mother the Countess, and Helen, Lord Lafew, all in black.
All's Well That Ends Well	1	1	2	speech	prose	Countess_AWW	In delivering my son from me, I bury a second husband.
All's Well That Ends Well	1	1	3	speech	prose	Bertram_AWW	And I in going, madam, weep o’er my father’s death anew; but I must attend his Majesty’s command, to whom I am now in ward, evermore in subjection.
All's Well That Ends Well	1	1	4	speech	prose	Lafew_AWW	You shall find of the King a husband, madam; you, sir, a father. He that so generally is at all times good must of necessity hold his virtue to you, whose worthiness would stir it up where it wanted rather than lack it where there is such abundance.
All's Well That Ends Well	1	1	5	speech	prose	Countess_AWW	What hope is there of his Majesty’s amendment?
All's Well That Ends Well	1	1	6	speech	prose	Lafew_AWW	He hath abandoned his physicians, madam, under whose practices he hath persecuted time with hope, and finds no other advantage in the process but only the losing of hope by time.
All's Well That Ends Well	1	1	7	speech	prose	Countess_AWW	This young gentlewoman had a father—O, that “had,” how sad a passage ’tis!—whose skill was almost as great as his honesty; had it stretched so far, would have made nature immortal, and death should have play for lack of work. Would for the King’s sake he were living! I think it would be the death of the King’s disease.
All's Well That Ends Well	1	1	8	speech	prose	Lafew_AWW	How called you the man you speak of, madam?
All's Well That Ends Well	1	1	9	speech	prose	Countess_AWW	He was famous, sir, in his profession, and it was his great right to be so: Gerard de Narbon.
All's Well That Ends Well	1	1	10	speech	prose	Lafew_AWW	He was excellent indeed, madam. The King very lately spoke of him admiringly, and mourningly. He was skillful enough to have lived still, if knowledge could be set up against mortality.
All's Well That Ends Well	1	1	11	speech	prose	Bertram_AWW	What is it, my good lord, the King languishes of?
All's Well That Ends Well	1	1	12	speech	prose	Lafew_AWW	A fistula, my lord.
All's Well That Ends Well	1	1	13	speech	prose	Bertram_AWW	I heard not of it before.
All's Well That Ends Well	1	1	14	speech	prose	Lafew_AWW	I would it were not notorious.—Was this gentlewoman the daughter of Gerard de Narbon?
All's Well That Ends Well	1	1	15	speech	prose	Countess_AWW	His sole child, my lord, and bequeathed to my overlooking. I have those hopes of her good that her education promises. Her dispositions she inherits, which makes fair gifts fairer; for where an unclean mind carries virtuous qualities, there commendations go with pity—they are virtues and traitors too. In her they are the better for their simpleness. She derives her honesty and achieves her goodness.
All's Well That Ends Well	1	1	16	speech	prose	Lafew_AWW	Your commendations, madam, get from her tears.
All's Well That Ends Well	1	1	17	speech	prose	Countess_AWW	’Tis the best brine a maiden can season her praise in. The remembrance of her father never approaches her heart but the tyranny of her sorrows takes all livelihood from her cheek.—No more of this, Helena. Go to. No more, lest it be rather thought you affect a sorrow than to have—
All's Well That Ends Well	1	1	18	speech	prose	Helen_AWW	I do affect a sorrow indeed, but I have it too.
All's Well That Ends Well	1	1	19	speech	prose	Lafew_AWW	Moderate lamentation is the right of the dead, excessive grief the enemy to the living.
All's Well That Ends Well	1	1	20	speech	prose	Countess_AWW	If the living be enemy to the grief, the excess makes it soon mortal.
All's Well That Ends Well	1	1	21	speech	prose	Bertram_AWW	Madam, I desire your holy wishes.
All's Well That Ends Well	1	1	22	speech	prose	Lafew_AWW	How understand we that?
All's Well That Ends Well	1	1	23	speech	verse	Countess_AWW	Be thou blessed, Bertram, and succeed thy father
All's Well That Ends Well	1	1	24	speech	verse	Countess_AWW	In manners as in shape. Thy blood and virtue
All's Well That Ends Well	1	1	25	speech	verse	Countess_AWW	Contend for empire in thee, and thy goodness
All's Well That Ends Well	1	1	26	speech	verse	Countess_AWW	Share with thy birthright. Love all, trust a few,
All's Well That Ends Well	1	1	27	speech	verse	Countess_AWW	Do wrong to none. Be able for thine enemy
All's Well That Ends Well	1	1	28	speech	verse	Countess_AWW	Rather in power than use, and keep thy friend
All's Well That Ends Well	1	1	29	speech	verse	Countess_AWW	Under thy own life’s key Be checked for silence,
All's Well That Ends Well	1	1	30	speech	verse	Countess_AWW	But never taxed for speech. What heaven more will,
All's Well That Ends Well	1	1	31	speech	verse	Countess_AWW	That thee may furnish and my prayers pluck down,
All's Well That Ends Well	1	1	32	speech	verse	Countess_AWW	Fall on thy head. Farewell, my lord.
All's Well That Ends Well	1	1	33	direction	delivery	Countess_AWW	To Lafew.
All's Well That Ends Well	1	1	34	speech	verse	Countess_AWW	’Tis an unseasoned courtier. Good my lord,
All's Well That Ends Well	1	1	35	speech	verse	Countess_AWW	Advise him.
All's Well That Ends Well	1	1	36	speech	verse	Lafew_AWW	He cannot want the best that shall
All's Well That Ends Well	1	1	37	speech	verse	Lafew_AWW	Attend his love.
All's Well That Ends Well	1	1	38	speech	prose	Countess_AWW	Heaven bless him.—Farewell, Bertram.
All's Well That Ends Well	1	1	39	speech	prose	Bertram_AWW	The best wishes that can be forged in your thoughts be servants to you.
All's Well That Ends Well	1	1	40	direction	exit	Countess_AWW	Countess exits.
All's Well That Ends Well	1	1	41	speech	prose	Bertram_AWW	Be comfortable to my mother, your mistress, and make much of her.
All's Well That Ends Well	1	1	42	direction	delivery	Bertram_AWW	To Helen.
All's Well That Ends Well	1	1	43	speech	prose	Lafew_AWW	Farewell, pretty lady. You must hold the credit of your father.
All's Well That Ends Well	1	1	44	direction	exit	Bertram_AWW	Bertram and Lafew exit.
All's Well That Ends Well	1	1	44	direction	exit	Lafew_AWW	Bertram and Lafew exit.
All's Well That Ends Well	1	1	45	speech	verse	Helen_AWW	O, were that all! I think not on my father,
All's Well That Ends Well	1	1	46	speech	verse	Helen_AWW	And these great tears grace his remembrance more
All's Well That Ends Well	1	1	47	speech	verse	Helen_AWW	Than those I shed for him. What was he like?
All's Well That Ends Well	1	1	48	speech	verse	Helen_AWW	I have forgot him. My imagination
All's Well That Ends Well	1	1	49	speech	verse	Helen_AWW	Carries no favor in ’t but Bertram’s.
All's Well That Ends Well	1	1	50	speech	verse	Helen_AWW	I am undone. There is no living, none,
