title	act	scene	number	type	subtype	who	text
Coriolanus	1	1	1	direction	entrance	CITIZENS.ROMAN_Cor	Enter a company of mutinous Citizens with staves,clubs, and other weapons.
Coriolanus	1	1	2	speech	prose	CITIZENS.ROMAN.0.1_Cor	Before we proceed any further, hear me speak.
Coriolanus	1	1	3	speech	prose	CITIZENS.ROMAN_Cor	Speak, speak!
Coriolanus	1	1	4	speech	prose	CITIZENS.ROMAN.0.1_Cor	You are all resolved rather to die than to famish?
Coriolanus	1	1	5	speech	prose	CITIZENS.ROMAN_Cor	Resolved, resolved!
Coriolanus	1	1	6	speech	prose	CITIZENS.ROMAN.0.1_Cor	First, you know Caius Martius is chief enemy to the people.
Coriolanus	1	1	7	speech	prose	CITIZENS.ROMAN_Cor	We know ’t, we know ’t!
Coriolanus	1	1	8	speech	prose	CITIZENS.ROMAN.0.1_Cor	Let us kill him, and we’ll have corn at our own price. Is ’t a verdict?
Coriolanus	1	1	9	speech	prose	CITIZENS.ROMAN_Cor	No more talking on ’t; let it be done. Away, away!
Coriolanus	1	1	10	speech	prose	CITIZENS.ROMAN.0.2_Cor	One word, good citizens.
Coriolanus	1	1	11	speech	prose	CITIZENS.ROMAN.0.1_Cor	We are accounted poor citizens, the patricians good. What authority surfeits on would relieve us. If they would yield us but the superfluity while it were wholesome, we might guess they relieved us humanely. But they think we are too dear. The leanness that afflicts us, the object of our misery, is as an inventory to particularize their abundance; our sufferance is a gain to them. Let us revenge this with our pikes ere we become rakes; for the gods know I speak this in hunger for bread, not in thirst for revenge.
Coriolanus	1	1	12	speech	prose	CITIZENS.ROMAN.0.2_Cor	Would you proceed especially against Caius Martius?
Coriolanus	1	1	13	speech	prose	CITIZENS.ROMAN_Cor	Against him first. He’s a very dog to the commonalty.
Coriolanus	1	1	14	speech	prose	CITIZENS.ROMAN.0.2_Cor	Consider you what services he has done for his country?
Coriolanus	1	1	15	speech	prose	CITIZENS.ROMAN.0.1_Cor	Very well, and could be content to give him good report for ’t, but that he pays himself with being proud.
Coriolanus	1	1	16	speech	prose	CITIZENS.ROMAN.0.2_Cor	Nay, but speak not maliciously.
Coriolanus	1	1	17	speech	prose	CITIZENS.ROMAN.0.1_Cor	I say unto you, what he hath done famously he did it to that end. Though soft-conscienced men can be content to say it was for his country, he did it to please his mother and to be partly proud, which he is, even to the altitude of his virtue.
Coriolanus	1	1	18	speech	prose	CITIZENS.ROMAN.0.2_Cor	What he cannot help in his nature you account a vice in him. You must in no way say he is covetous.
Coriolanus	1	1	19	speech	prose	CITIZENS.ROMAN.0.1_Cor	If I must not, I need not be barren of accusations. He hath faults, with surplus, to tire in repetition.  What shouts are these? The other side o’ th’ city is risen. Why stay we prating here? To th’ Capitol!
Coriolanus	1	1	20	direction	shout	CITIZENS.ROMAN.0.1_Cor	(Shouts within.)
Coriolanus	1	1	21	speech	prose	CITIZENS.ROMAN_Cor	Come, come!
Coriolanus	1	1	22	direction	entrance	Menenius_Cor	Enter Menenius Agrippa.
Coriolanus	1	1	23	speech	prose	CITIZENS.ROMAN.0.1_Cor	Soft, who comes here?
Coriolanus	1	1	24	speech	prose	CITIZENS.ROMAN.0.2_Cor	Worthy Menenius Agrippa, one that hath always loved the people.
Coriolanus	1	1	25	speech	prose	CITIZENS.ROMAN.0.1_Cor	He’s one honest enough. Would all the rest were so!
Coriolanus	1	1	26	speech	verse	Menenius_Cor	What work ’s, my countrymen, in hand? Where go you
Coriolanus	1	1	27	speech	verse	Menenius_Cor	With bats and clubs? The matter? Speak, I pray you.
Coriolanus	1	1	28	speech	prose	CITIZENS.ROMAN.0.2_Cor	Our business is not unknown to th’ Senate. They have had inkling this fortnight what we intend to do, which now we’ll show ’em in deeds. They say poor suitors have strong breaths; they shall know we have strong arms too.
Coriolanus	1	1	29	speech	verse	Menenius_Cor	Why, masters, my good friends, mine honest neighbors,
Coriolanus	1	1	30	speech	verse	Menenius_Cor	Will you undo yourselves?
Coriolanus	1	1	31	speech	verse	CITIZENS.ROMAN.0.2_Cor	We cannot, sir; we are undone already.
Coriolanus	1	1	32	speech	verse	Menenius_Cor	I tell you, friends, most charitable care
Coriolanus	1	1	33	speech	verse	Menenius_Cor	Have the patricians of you. For your wants,
Coriolanus	1	1	34	speech	verse	Menenius_Cor	Your suffering in this dearth, you may as well
Coriolanus	1	1	35	speech	verse	Menenius_Cor	Strike at the heaven with your staves as lift them
Coriolanus	1	1	36	speech	verse	Menenius_Cor	Against the Roman state, whose course will on
Coriolanus	1	1	37	speech	verse	Menenius_Cor	The way it takes, cracking ten thousand curbs
Coriolanus	1	1	38	speech	verse	Menenius_Cor	Of more strong link asunder than can ever
Coriolanus	1	1	39	speech	verse	Menenius_Cor	Appear in your impediment. For the dearth,
Coriolanus	1	1	40	speech	verse	Menenius_Cor	The gods, not the patricians, make it, and
Coriolanus	1	1	41	speech	verse	Menenius_Cor	Your knees to them, not arms, must help. Alack,
Coriolanus	1	1	42	speech	verse	Menenius_Cor	You are transported by calamity
Coriolanus	1	1	43	speech	verse	Menenius_Cor	Thither where more attends you, and you slander
Coriolanus	1	1	44	speech	verse	Menenius_Cor	The helms o’ th’ state, who care for you like fathers,
Coriolanus	1	1	45	speech	verse	Menenius_Cor	When you curse them as enemies.
