title	act	scene	number	type	subtype	who	text
Hamlet	1	1	1	direction	entrance	Barnardo_Ham	Enter Barnardo and Francisco, two sentinels.
Hamlet	1	1	1	direction	entrance	Francisco_Ham	Enter Barnardo and Francisco, two sentinels.
Hamlet	1	1	2	speech	prose	Barnardo_Ham	Who’s there?
Hamlet	1	1	3	speech	verse	Francisco_Ham	Nay, answer me. Stand and unfold yourself.
Hamlet	1	1	4	speech	prose	Barnardo_Ham	Long live the King!
Hamlet	1	1	5	speech	prose	Francisco_Ham	Barnardo?
Hamlet	1	1	6	speech	prose	Barnardo_Ham	He.
Hamlet	1	1	7	speech	verse	Francisco_Ham	You come most carefully upon your hour.
Hamlet	1	1	8	speech	verse	Barnardo_Ham	’Tis now struck twelve. Get thee to bed, Francisco.
Hamlet	1	1	9	speech	verse	Francisco_Ham	For this relief much thanks. ’Tis bitter cold,
Hamlet	1	1	10	speech	verse	Francisco_Ham	And I am sick at heart.
Hamlet	1	1	11	speech	prose	Barnardo_Ham	Have you had quiet guard?
Hamlet	1	1	12	speech	prose	Francisco_Ham	Not a mouse stirring.
Hamlet	1	1	13	speech	verse	Barnardo_Ham	Well, good night.
Hamlet	1	1	14	speech	verse	Barnardo_Ham	If you do meet Horatio and Marcellus,
Hamlet	1	1	15	speech	verse	Barnardo_Ham	The rivals of my watch, bid them make haste.
Hamlet	1	1	16	direction	entrance	Horatio_Ham	Enter Horatio and Marcellus.
Hamlet	1	1	16	direction	entrance	Marcellus_Ham	Enter Horatio and Marcellus.
Hamlet	1	1	17	speech	verse	Francisco_Ham	I think I hear them.—Stand ho! Who is there?
Hamlet	1	1	18	speech	verse	Horatio_Ham	Friends to this ground.
Hamlet	1	1	19	speech	verse	Marcellus_Ham	And liegemen to the Dane.
Hamlet	1	1	20	speech	verse	Francisco_Ham	Give you good night.
Hamlet	1	1	21	speech	verse	Marcellus_Ham	O farewell, honest soldier. Who hath relieved you?
Hamlet	1	1	22	speech	verse	Francisco_Ham	Barnardo hath my place. Give you good night.
Hamlet	1	1	23	direction	exit	Francisco_Ham	Francisco exits.
Hamlet	1	1	24	speech	verse	Marcellus_Ham	Holla, Barnardo.
Hamlet	1	1	25	speech	verse	Barnardo_Ham	Say, what, is Horatio there?
Hamlet	1	1	26	speech	verse	Horatio_Ham	A piece of him.
Hamlet	1	1	27	speech	verse	Barnardo_Ham	Welcome, Horatio.—Welcome, good Marcellus.
Hamlet	1	1	28	speech	verse	Horatio_Ham	What, has this thing appeared again tonight?
Hamlet	1	1	29	speech	verse	Barnardo_Ham	I have seen nothing.
Hamlet	1	1	30	speech	verse	Marcellus_Ham	Horatio says ’tis but our fantasy
Hamlet	1	1	31	speech	verse	Marcellus_Ham	And will not let belief take hold of him
Hamlet	1	1	32	speech	verse	Marcellus_Ham	Touching this dreaded sight twice seen of us.
Hamlet	1	1	33	speech	verse	Marcellus_Ham	Therefore I have entreated him along
Hamlet	1	1	34	speech	verse	Marcellus_Ham	With us to watch the minutes of this night,
Hamlet	1	1	35	speech	verse	Marcellus_Ham	That, if again this apparition come,
Hamlet	1	1	36	speech	verse	Marcellus_Ham	He may approve our eyes and speak to it.
Hamlet	1	1	37	speech	verse	Horatio_Ham	Tush, tush, ’twill not appear.
Hamlet	1	1	38	speech	verse	Barnardo_Ham	Sit down awhile,
Hamlet	1	1	39	speech	verse	Barnardo_Ham	And let us once again assail your ears,
Hamlet	1	1	40	speech	verse	Barnardo_Ham	That are so fortified against our story,
Hamlet	1	1	41	speech	verse	Barnardo_Ham	What we have two nights seen.
Hamlet	1	1	42	speech	verse	Horatio_Ham	Well, sit we down,
Hamlet	1	1	43	speech	verse	Horatio_Ham	And let us hear Barnardo speak of this.
Hamlet	1	1	44	speech	verse	Barnardo_Ham	Last night of all,
Hamlet	1	1	45	speech	verse	Barnardo_Ham	When yond same star that’s westward from the pole
Hamlet	1	1	46	speech	verse	Barnardo_Ham	Had made his course t’ illume that part of heaven
Hamlet	1	1	47	speech	verse	Barnardo_Ham	Where now it burns, Marcellus and myself,
Hamlet	1	1	48	speech	verse	Barnardo_Ham	The bell then beating one—
Hamlet	1	1	49	direction	entrance	Ghost_Ham	Enter Ghost.
Hamlet	1	1	50	speech	verse	Marcellus_Ham	Peace, break thee off! Look where it comes again.
Hamlet	1	1	51	speech	verse	Barnardo_Ham	In the same figure like the King that’s dead.
