title	act	scene	number	type	subtype	who	text
Henry IV, Part I	1	1	1	direction	entrance	HenryIV_1H4	Enter the King, Lord John of Lancaster, and the Earl of Westmoreland, with others.
Henry IV, Part I	1	1	1	direction	entrance	Bedford_H5	Enter the King, Lord John of Lancaster, and the Earl of Westmoreland, with others.
Henry IV, Part I	1	1	1	direction	entrance	Westmoreland_1H4	Enter the King, Lord John of Lancaster, and the Earl of Westmoreland, with others.
Henry IV, Part I	1	1	1	direction	entrance	ATTENDANTS_1H4	Enter the King, Lord John of Lancaster, and the Earl of Westmoreland, with others.
Henry IV, Part I	1	1	2	speech	verse	HenryIV_1H4	So shaken as we are, so wan with care,
Henry IV, Part I	1	1	3	speech	verse	HenryIV_1H4	Find we a time for frighted peace to pant
Henry IV, Part I	1	1	4	speech	verse	HenryIV_1H4	And breathe short-winded accents of new broils
Henry IV, Part I	1	1	5	speech	verse	HenryIV_1H4	To be commenced in strands afar remote.
Henry IV, Part I	1	1	6	speech	verse	HenryIV_1H4	No more the thirsty entrance of this soil
Henry IV, Part I	1	1	7	speech	verse	HenryIV_1H4	Shall daub her lips with her own children’s blood.
Henry IV, Part I	1	1	8	speech	verse	HenryIV_1H4	No more shall trenching war channel her fields,
Henry IV, Part I	1	1	9	speech	verse	HenryIV_1H4	Nor bruise her flow’rets with the armèd hoofs
Henry IV, Part I	1	1	10	speech	verse	HenryIV_1H4	Of hostile paces. Those opposèd eyes,
Henry IV, Part I	1	1	11	speech	verse	HenryIV_1H4	Which, like the meteors of a troubled heaven,
Henry IV, Part I	1	1	12	speech	verse	HenryIV_1H4	All of one nature, of one substance bred,
Henry IV, Part I	1	1	13	speech	verse	HenryIV_1H4	Did lately meet in the intestine shock
Henry IV, Part I	1	1	14	speech	verse	HenryIV_1H4	And furious close of civil butchery,
Henry IV, Part I	1	1	15	speech	verse	HenryIV_1H4	Shall now, in mutual well-beseeming ranks,
Henry IV, Part I	1	1	16	speech	verse	HenryIV_1H4	March all one way and be no more opposed
Henry IV, Part I	1	1	17	speech	verse	HenryIV_1H4	Against acquaintance, kindred, and allies.
Henry IV, Part I	1	1	18	speech	verse	HenryIV_1H4	The edge of war, like an ill-sheathèd knife,
Henry IV, Part I	1	1	19	speech	verse	HenryIV_1H4	No more shall cut his master. Therefore, friends,
Henry IV, Part I	1	1	20	speech	verse	HenryIV_1H4	As far as to the sepulcher of Christ—
Henry IV, Part I	1	1	21	speech	verse	HenryIV_1H4	Whose soldier now, under whose blessèd cross
Henry IV, Part I	1	1	22	speech	verse	HenryIV_1H4	We are impressèd and engaged to fight—
Henry IV, Part I	1	1	23	speech	verse	HenryIV_1H4	Forthwith a power of English shall we levy,
Henry IV, Part I	1	1	24	speech	verse	HenryIV_1H4	Whose arms were molded in their mothers’ womb
Henry IV, Part I	1	1	25	speech	verse	HenryIV_1H4	To chase these pagans in those holy fields
Henry IV, Part I	1	1	26	speech	verse	HenryIV_1H4	Over whose acres walked those blessèd feet
Henry IV, Part I	1	1	27	speech	verse	HenryIV_1H4	Which fourteen hundred years ago were nailed
Henry IV, Part I	1	1	28	speech	verse	HenryIV_1H4	For our advantage on the bitter cross.
Henry IV, Part I	1	1	29	speech	verse	HenryIV_1H4	But this our purpose now is twelve month old,
Henry IV, Part I	1	1	30	speech	verse	HenryIV_1H4	And bootless ’tis to tell you we will go.
Henry IV, Part I	1	1	31	speech	verse	HenryIV_1H4	Therefor we meet not now. Then let me hear
Henry IV, Part I	1	1	32	speech	verse	HenryIV_1H4	Of you, my gentle cousin Westmoreland,
Henry IV, Part I	1	1	33	speech	verse	HenryIV_1H4	What yesternight our council did decree
Henry IV, Part I	1	1	34	speech	verse	HenryIV_1H4	In forwarding this dear expedience.
Henry IV, Part I	1	1	35	speech	verse	Westmoreland_1H4	My liege, this haste was hot in question,
Henry IV, Part I	1	1	36	speech	verse	Westmoreland_1H4	And many limits of the charge set down
Henry IV, Part I	1	1	37	speech	verse	Westmoreland_1H4	But yesternight, when all athwart there came
Henry IV, Part I	1	1	38	speech	verse	Westmoreland_1H4	A post from Wales loaden with heavy news,
Henry IV, Part I	1	1	39	speech	verse	Westmoreland_1H4	Whose worst was that the noble Mortimer,
Henry IV, Part I	1	1	40	speech	verse	Westmoreland_1H4	Leading the men of Herefordshire to fight
Henry IV, Part I	1	1	41	speech	verse	Westmoreland_1H4	Against the irregular and wild Glendower,
Henry IV, Part I	1	1	42	speech	verse	Westmoreland_1H4	Was by the rude hands of that Welshman taken,
Henry IV, Part I	1	1	43	speech	verse	Westmoreland_1H4	A thousand of his people butcherèd,
Henry IV, Part I	1	1	44	speech	verse	Westmoreland_1H4	Upon whose dead corpse there was such misuse,
Henry IV, Part I	1	1	45	speech	verse	Westmoreland_1H4	Such beastly shameless transformation
Henry IV, Part I	1	1	46	speech	verse	Westmoreland_1H4	By those Welshwomen done, as may not be
Henry IV, Part I	1	1	47	speech	verse	Westmoreland_1H4	Without much shame retold or spoken of.
