title	act	scene	number	type	subtype	who	text
Henry V	1	1	1	direction	entrance	BishopOfCanterbury_H5	Enter the two Bishops of Canterbury and Ely.
Henry V	1	1	1	direction	entrance	BishopOfEly_H5	Enter the two Bishops of Canterbury and Ely.
Henry V	1	1	2	speech	verse	BishopOfCanterbury_H5	My lord, I’ll tell you that self bill is urged
Henry V	1	1	3	speech	verse	BishopOfCanterbury_H5	Which in th’ eleventh year of the last king’s reign
Henry V	1	1	4	speech	verse	BishopOfCanterbury_H5	Was like, and had indeed against us passed
Henry V	1	1	5	speech	verse	BishopOfCanterbury_H5	But that the scambling and unquiet time
Henry V	1	1	6	speech	verse	BishopOfCanterbury_H5	Did push it out of farther question.
Henry V	1	1	7	speech	verse	BishopOfEly_H5	But how, my lord, shall we resist it now?
Henry V	1	1	8	speech	verse	BishopOfCanterbury_H5	It must be thought on. If it pass against us,
Henry V	1	1	9	speech	verse	BishopOfCanterbury_H5	We lose the better half of our possession,
Henry V	1	1	10	speech	verse	BishopOfCanterbury_H5	For all the temporal lands which men devout
Henry V	1	1	11	speech	verse	BishopOfCanterbury_H5	By testament have given to the Church
Henry V	1	1	12	speech	verse	BishopOfCanterbury_H5	Would they strip from us, being valued thus:
Henry V	1	1	13	speech	verse	BishopOfCanterbury_H5	“As much as would maintain, to the King’s honor,
Henry V	1	1	14	speech	verse	BishopOfCanterbury_H5	Full fifteen earls and fifteen hundred knights,
Henry V	1	1	15	speech	verse	BishopOfCanterbury_H5	Six thousand and two hundred good esquires;
Henry V	1	1	16	speech	verse	BishopOfCanterbury_H5	And, to relief of lazars and weak age
Henry V	1	1	17	speech	verse	BishopOfCanterbury_H5	Of indigent faint souls past corporal toil,
Henry V	1	1	18	speech	verse	BishopOfCanterbury_H5	A hundred almshouses right well supplied;
Henry V	1	1	19	speech	verse	BishopOfCanterbury_H5	And to the coffers of the King besides,
Henry V	1	1	20	speech	verse	BishopOfCanterbury_H5	A thousand pounds by th’ year.” Thus runs the bill.
Henry V	1	1	21	speech	verse	BishopOfEly_H5	This would drink deep.
Henry V	1	1	22	speech	verse	BishopOfCanterbury_H5	’Twould drink the cup and all.
Henry V	1	1	23	speech	verse	BishopOfEly_H5	But what prevention?
Henry V	1	1	24	speech	verse	BishopOfCanterbury_H5	The King is full of grace and fair regard.
Henry V	1	1	25	speech	verse	BishopOfEly_H5	And a true lover of the holy Church.
Henry V	1	1	26	speech	verse	BishopOfCanterbury_H5	The courses of his youth promised it not.
Henry V	1	1	27	speech	verse	BishopOfCanterbury_H5	The breath no sooner left his father’s body
Henry V	1	1	28	speech	verse	BishopOfCanterbury_H5	But that his wildness, mortified in him,
Henry V	1	1	29	speech	verse	BishopOfCanterbury_H5	Seemed to die too. Yea, at that very moment
Henry V	1	1	30	speech	verse	BishopOfCanterbury_H5	Consideration like an angel came
Henry V	1	1	31	speech	verse	BishopOfCanterbury_H5	And whipped th’ offending Adam out of him,
Henry V	1	1	32	speech	verse	BishopOfCanterbury_H5	Leaving his body as a paradise
Henry V	1	1	33	speech	verse	BishopOfCanterbury_H5	T’ envelop and contain celestial spirits.
Henry V	1	1	34	speech	verse	BishopOfCanterbury_H5	Never was such a sudden scholar made,
Henry V	1	1	35	speech	verse	BishopOfCanterbury_H5	Never came reformation in a flood
Henry V	1	1	36	speech	verse	BishopOfCanterbury_H5	With such a heady currance scouring faults,
Henry V	1	1	37	speech	verse	BishopOfCanterbury_H5	Nor never Hydra-headed willfulness
Henry V	1	1	38	speech	verse	BishopOfCanterbury_H5	So soon did lose his seat, and all at once,
Henry V	1	1	39	speech	verse	BishopOfCanterbury_H5	As in this king.
Henry V	1	1	40	speech	verse	BishopOfEly_H5	We are blessèd in the change.
Henry V	1	1	41	speech	verse	BishopOfCanterbury_H5	Hear him but reason in divinity
Henry V	1	1	42	speech	verse	BishopOfCanterbury_H5	And, all-admiring, with an inward wish
Henry V	1	1	43	speech	verse	BishopOfCanterbury_H5	You would desire the King were made a prelate;
Henry V	1	1	44	speech	verse	BishopOfCanterbury_H5	Hear him debate of commonwealth affairs,
Henry V	1	1	45	speech	verse	BishopOfCanterbury_H5	You would say it hath been all in all his study;
Henry V	1	1	46	speech	verse	BishopOfCanterbury_H5	List his discourse of war, and you shall hear
Henry V	1	1	47	speech	verse	BishopOfCanterbury_H5	A fearful battle rendered you in music;
Henry V	1	1	48	speech	verse	BishopOfCanterbury_H5	Turn him to any cause of policy,
Henry V	1	1	49	speech	verse	BishopOfCanterbury_H5	The Gordian knot of it he will unloose
Henry V	1	1	50	speech	verse	BishopOfCanterbury_H5	Familiar as his garter; that, when he speaks,
Henry V	1	1	51	speech	verse	BishopOfCanterbury_H5	The air, a chartered libertine, is still,
Henry V	1	1	52	speech	verse	BishopOfCanterbury_H5	And the mute wonder lurketh in men’s ears
Henry V	1	1	53	speech	verse	BishopOfCanterbury_H5	To steal his sweet and honeyed sentences;
Henry V	1	1	54	speech	verse	BishopOfCanterbury_H5	So that the art and practic part of life
Henry V	1	1	55	speech	verse	BishopOfCanterbury_H5	Must be the mistress to this theoric;
Henry V	1	1	56	speech	verse	BishopOfCanterbury_H5	Which is a wonder how his Grace should glean it,
Henry V	1	1	57	speech	verse	BishopOfCanterbury_H5	Since his addiction was to courses vain,
Henry V	1	1	58	speech	verse	BishopOfCanterbury_H5	His companies unlettered, rude, and shallow,
Henry V	1	1	59	speech	verse	BishopOfCanterbury_H5	His hours filled up with riots, banquets, sports,
Henry V	1	1	60	speech	verse	BishopOfCanterbury_H5	And never noted in him any study,
Henry V	1	1	61	speech	verse	BishopOfCanterbury_H5	Any retirement, any sequestration
Henry V	1	1	62	speech	verse	BishopOfCanterbury_H5	From open haunts and popularity.
Henry V	1	1	63	speech	verse	BishopOfEly_H5	The strawberry grows underneath the nettle,
Henry V	1	1	64	speech	verse	BishopOfEly_H5	And wholesome berries thrive and ripen best
Henry V	1	1	65	speech	verse	BishopOfEly_H5	Neighbored by fruit of baser quality;
Henry V	1	1	66	speech	verse	BishopOfEly_H5	And so the Prince obscured his contemplation
Henry V	1	1	67	speech	verse	BishopOfEly_H5	Under the veil of wildness, which, no doubt,
Henry V	1	1	68	speech	verse	BishopOfEly_H5	Grew like the summer grass, fastest by night,
Henry V	1	1	69	speech	verse	BishopOfEly_H5	Unseen yet crescive in his faculty.
Henry V	1	1	70	speech	verse	BishopOfCanterbury_H5	It must be so, for miracles are ceased,
Henry V	1	1	71	speech	verse	BishopOfCanterbury_H5	And therefore we must needs admit the means
Henry V	1	1	72	speech	verse	BishopOfCanterbury_H5	How things are perfected.
