title	act	scene	number	type	subtype	who	text
Henry VI, Part 1	1	1	1	direction	entrance	Bedford_H5	Enter the funeral of King Henry the Fifth,attended on by the Duke of Bedford, Regent of France;the Duke of Gloucester, Protector; the Duke of Exeter;the Earl of Warwick; the Bishop of Winchester; and the Duke of Somerset, with Heralds and Attendants.
Henry VI, Part 1	1	1	1	direction	entrance	Gloucester_2H4	Enter the funeral of King Henry the Fifth,attended on by the Duke of Bedford, Regent of France;the Duke of Gloucester, Protector; the Duke of Exeter;the Earl of Warwick; the Bishop of Winchester; and the Duke of Somerset, with Heralds and Attendants.
Henry VI, Part 1	1	1	1	direction	entrance	Exeter_H5	Enter the funeral of King Henry the Fifth,attended on by the Duke of Bedford, Regent of France;the Duke of Gloucester, Protector; the Duke of Exeter;the Earl of Warwick; the Bishop of Winchester; and the Duke of Somerset, with Heralds and Attendants.
Henry VI, Part 1	1	1	1	direction	entrance	Warwick_2H4	Enter the funeral of King Henry the Fifth,attended on by the Duke of Bedford, Regent of France;the Duke of Gloucester, Protector; the Duke of Exeter;the Earl of Warwick; the Bishop of Winchester; and the Duke of Somerset, with Heralds and Attendants.
Henry VI, Part 1	1	1	1	direction	entrance	CardinalBeaufort_1H6	Enter the funeral of King Henry the Fifth,attended on by the Duke of Bedford, Regent of France;the Duke of Gloucester, Protector; the Duke of Exeter;the Earl of Warwick; the Bishop of Winchester; and the Duke of Somerset, with Heralds and Attendants.
Henry VI, Part 1	1	1	1	direction	entrance	Somerset_1H6	Enter the funeral of King Henry the Fifth,attended on by the Duke of Bedford, Regent of France;the Duke of Gloucester, Protector; the Duke of Exeter;the Earl of Warwick; the Bishop of Winchester; and the Duke of Somerset, with Heralds and Attendants.
Henry VI, Part 1	1	1	1	direction	entrance	HERALDS.ENGLISH_1H6	Enter the funeral of King Henry the Fifth,attended on by the Duke of Bedford, Regent of France;the Duke of Gloucester, Protector; the Duke of Exeter;the Earl of Warwick; the Bishop of Winchester; and the Duke of Somerset, with Heralds and Attendants.
Henry VI, Part 1	1	1	1	direction	entrance	ATTENDANTS.ENGLISH_1H6	Enter the funeral of King Henry the Fifth,attended on by the Duke of Bedford, Regent of France;the Duke of Gloucester, Protector; the Duke of Exeter;the Earl of Warwick; the Bishop of Winchester; and the Duke of Somerset, with Heralds and Attendants.
Henry VI, Part 1	1	1	2	direction	sound		Dead March.
Henry VI, Part 1	1	1	3	speech	verse	Bedford_H5	Hung be the heavens with black, yield day to night!
