title	act	scene	number	type	subtype	who	text
King John	1	1	1	direction	entrance	KingJohn_Jn	Enter King John, Queen Eleanor, Pembroke, Essex, and Salisbury, with the Chatillion of France.
King John	1	1	1	direction	entrance	QueenEleanor_Jn	Enter King John, Queen Eleanor, Pembroke, Essex, and Salisbury, with the Chatillion of France.
King John	1	1	1	direction	entrance	Pembroke_Jn	Enter King John, Queen Eleanor, Pembroke, Essex, and Salisbury, with the Chatillion of France.
King John	1	1	1	direction	entrance	Essex_Jn	Enter King John, Queen Eleanor, Pembroke, Essex, and Salisbury, with the Chatillion of France.
King John	1	1	1	direction	entrance	Salisbury_Jn	Enter King John, Queen Eleanor, Pembroke, Essex, and Salisbury, with the Chatillion of France.
King John	1	1	1	direction	entrance	Chatillion_Jn	Enter King John, Queen Eleanor, Pembroke, Essex, and Salisbury, with the Chatillion of France.
King John	1	1	2	speech	verse	KingJohn_Jn	Now say, Chatillion, what would France with us?
King John	1	1	3	speech	verse	Chatillion_Jn	Thus, after greeting, speaks the King of France
King John	1	1	4	speech	verse	Chatillion_Jn	In my behavior to the majesty,
King John	1	1	5	speech	verse	Chatillion_Jn	The borrowed majesty, of England here.
King John	1	1	6	speech	verse	QueenEleanor_Jn	A strange beginning: “borrowed majesty”!
King John	1	1	7	speech	verse	KingJohn_Jn	Silence, good mother. Hear the embassy.
King John	1	1	8	speech	verse	Chatillion_Jn	Philip of France, in right and true behalf
King John	1	1	9	speech	verse	Chatillion_Jn	Of thy deceasèd brother Geoffrey’s son,
King John	1	1	10	speech	verse	Chatillion_Jn	Arthur Plantagenet, lays most lawful claim
King John	1	1	11	speech	verse	Chatillion_Jn	To this fair island and the territories,
King John	1	1	12	speech	verse	Chatillion_Jn	To Ireland, Poitiers, Anjou, Touraine, Maine,
King John	1	1	13	speech	verse	Chatillion_Jn	Desiring thee to lay aside the sword
King John	1	1	14	speech	verse	Chatillion_Jn	Which sways usurpingly these several titles,
King John	1	1	15	speech	verse	Chatillion_Jn	And put the same into young Arthur’s hand,
King John	1	1	16	speech	verse	Chatillion_Jn	Thy nephew and right royal sovereign.
King John	1	1	17	speech	verse	KingJohn_Jn	What follows if we disallow of this?
King John	1	1	18	speech	verse	Chatillion_Jn	The proud control of fierce and bloody war,
King John	1	1	19	speech	verse	Chatillion_Jn	To enforce these rights so forcibly withheld.
King John	1	1	20	speech	verse	KingJohn_Jn	Here have we war for war and blood for blood,
King John	1	1	21	speech	verse	KingJohn_Jn	Controlment for controlment: so answer France.
