title	act	scene	number	type	subtype	who	text
King Lear	1	1	1	direction	entrance	Kent_Lr	Enter Kent, Gloucester, and Edmund.
King Lear	1	1	1	direction	entrance	Gloucester_Lr	Enter Kent, Gloucester, and Edmund.
King Lear	1	1	1	direction	entrance	Edmund_Lr	Enter Kent, Gloucester, and Edmund.
King Lear	1	1	2	speech	prose	Kent_Lr	I thought the King had more affected the Duke of Albany than Cornwall.
King Lear	1	1	3	speech	prose	Gloucester_Lr	It did always seem so to us, but now in the division of the kingdom, it appears not which of the dukes he values most, for equalities are so weighed that curiosity in neither can make choice of either’s moiety.
King Lear	1	1	4	speech	prose	Kent_Lr	Is not this your son, my lord?
King Lear	1	1	5	speech	prose	Gloucester_Lr	His breeding, sir, hath been at my charge. I have so often blushed to acknowledge him that now I am brazed to ’t.
King Lear	1	1	6	speech	prose	Kent_Lr	I cannot conceive you.
King Lear	1	1	7	speech	prose	Gloucester_Lr	Sir, this young fellow’s mother could, whereupon she grew round-wombed and had indeed, sir, a son for her cradle ere she had a husband for her bed. Do you smell a fault?
King Lear	1	1	8	speech	prose	Kent_Lr	I cannot wish the fault undone, the issue of it being so proper.
King Lear	1	1	9	speech	prose	Gloucester_Lr	But I have a son, sir, by order of law, some year elder than this, who yet is no dearer in my account. Though this knave came something saucily to the world before he was sent for, yet was his mother fair, there was good sport at his making, and the whoreson must be acknowledged.—Do you know this noble gentleman, Edmund?
King Lear	1	1	10	speech	prose	Edmund_Lr	No, my lord.
King Lear	1	1	11	speech	prose	Gloucester_Lr	My lord of Kent. Remember him hereafter as my honorable friend.
King Lear	1	1	12	speech	prose	Edmund_Lr	My services to your Lordship.
King Lear	1	1	13	speech	prose	Kent_Lr	I must love you and sue to know you better.
King Lear	1	1	14	speech	prose	Edmund_Lr	Sir, I shall study deserving.
King Lear	1	1	15	speech	prose	Gloucester_Lr	He hath been out nine years, and away he shall again. The King is coming.
King Lear	1	1	16	direction	sound	Gloucester_Lr	(Sennet.)
