title	act	scene	number	type	subtype	who	text
Measure for Measure	1	1	1	direction	entrance	Duke_MM	Enter Duke, Escalus, Lords, and Attendants.
Measure for Measure	1	1	1	direction	entrance	Escalus_MM	Enter Duke, Escalus, Lords, and Attendants.
Measure for Measure	1	1	1	direction	entrance	ATTENDANTS_MM	Enter Duke, Escalus, Lords, and Attendants.
Measure for Measure	1	1	2	speech	verse	Duke_MM	Escalus.
Measure for Measure	1	1	3	speech	verse	Escalus_MM	My lord.
Measure for Measure	1	1	4	speech	verse	Duke_MM	Of government the properties to unfold
Measure for Measure	1	1	5	speech	verse	Duke_MM	Would seem in me t’ affect speech and discourse,
Measure for Measure	1	1	6	speech	verse	Duke_MM	Since I am put to know that your own science
Measure for Measure	1	1	7	speech	verse	Duke_MM	Exceeds, in that, the lists of all advice
Measure for Measure	1	1	8	speech	verse	Duke_MM	My strength can give you. Then no more remains
Measure for Measure	1	1	9	speech	verse	Duke_MM	But that, to your sufficiency, as your worth is able,
Measure for Measure	1	1	10	speech	verse	Duke_MM	And let them work. The nature of our people,
Measure for Measure	1	1	11	speech	verse	Duke_MM	Our city’s institutions, and the terms
Measure for Measure	1	1	12	speech	verse	Duke_MM	For common justice, you’re as pregnant in
Measure for Measure	1	1	13	speech	verse	Duke_MM	As art and practice hath enrichèd any
Measure for Measure	1	1	14	speech	verse	Duke_MM	That we remember. There is our commission,
Measure for Measure	1	1	15	direction	business	Duke_MM	He hands Escalus a paper.
Measure for Measure	1	1	15	direction	business	Escalus_MM	He hands Escalus a paper.
Measure for Measure	1	1	16	speech	verse	Duke_MM	From which we would not have you warp.—Call hither,
Measure for Measure	1	1	17	speech	verse	Duke_MM	I say, bid come before us Angelo.
Measure for Measure	1	1	18	direction	exit	ATTENDANTS.0_MM	An Attendant exits.
Measure for Measure	1	1	19	speech	verse	Duke_MM	What figure of us think you he will bear?
Measure for Measure	1	1	20	speech	verse	Duke_MM	For you must know, we have with special soul
Measure for Measure	1	1	21	speech	verse	Duke_MM	Elected him our absence to supply,
Measure for Measure	1	1	22	speech	verse	Duke_MM	Lent him our terror, dressed him with our love,
Measure for Measure	1	1	23	speech	verse	Duke_MM	And given his deputation all the organs
Measure for Measure	1	1	24	speech	verse	Duke_MM	Of our own power. What think you of it?
Measure for Measure	1	1	25	speech	verse	Escalus_MM	If any in Vienna be of worth
Measure for Measure	1	1	26	speech	verse	Escalus_MM	To undergo such ample grace and honor,
Measure for Measure	1	1	27	speech	verse	Escalus_MM	It is Lord Angelo.
Measure for Measure	1	1	28	direction	entrance	Angelo_MM	Enter Angelo.
Measure for Measure	1	1	29	speech	verse	Duke_MM	Look where he comes.
Measure for Measure	1	1	30	speech	verse	Angelo_MM	Always obedient to your Grace’s will,
Measure for Measure	1	1	31	speech	verse	Angelo_MM	I come to know your pleasure.
Measure for Measure	1	1	32	speech	verse	Duke_MM	Angelo,
Measure for Measure	1	1	33	speech	verse	Duke_MM	There is a kind of character in thy life
Measure for Measure	1	1	34	speech	verse	Duke_MM	That to th’ observer doth thy history
Measure for Measure	1	1	35	speech	verse	Duke_MM	Fully unfold. Thyself and thy belongings
Measure for Measure	1	1	36	speech	verse	Duke_MM	Are not thine own so proper as to waste
Measure for Measure	1	1	37	speech	verse	Duke_MM	Thyself upon thy virtues, they on thee.
Measure for Measure	1	1	38	speech	verse	Duke_MM	Heaven doth with us as we with torches do,
Measure for Measure	1	1	39	speech	verse	Duke_MM	Not light them for themselves; for if our virtues
Measure for Measure	1	1	40	speech	verse	Duke_MM	Did not go forth of us, ’twere all alike
Measure for Measure	1	1	41	speech	verse	Duke_MM	As if we had them not. Spirits are not finely touched
Measure for Measure	1	1	42	speech	verse	Duke_MM	But to fine issues, nor nature never lends
Measure for Measure	1	1	43	speech	verse	Duke_MM	The smallest scruple of her excellence
Measure for Measure	1	1	44	speech	verse	Duke_MM	But, like a thrifty goddess, she determines
Measure for Measure	1	1	45	speech	verse	Duke_MM	Herself the glory of a creditor,
Measure for Measure	1	1	46	speech	verse	Duke_MM	Both thanks and use. But I do bend my speech
Measure for Measure	1	1	47	speech	verse	Duke_MM	To one that can my part in him advertise.
Measure for Measure	1	1	48	speech	verse	Duke_MM	Hold, therefore, Angelo.
Measure for Measure	1	1	49	speech	verse	Duke_MM	In our remove be thou at full ourself.
Measure for Measure	1	1	50	speech	verse	Duke_MM	Mortality and mercy in Vienna
Measure for Measure	1	1	51	speech	verse	Duke_MM	Live in thy tongue and heart. Old Escalus,
Measure for Measure	1	1	52	speech	verse	Duke_MM	Though first in question, is thy secondary.
Measure for Measure	1	1	53	speech	verse	Duke_MM	Take thy commission.
Measure for Measure	1	1	54	direction	business	Duke_MM	He hands Angelo a paper.
Measure for Measure	1	1	54	direction	business	Angelo_MM	He hands Angelo a paper.
Measure for Measure	1	1	55	speech	verse	Angelo_MM	Now, good my lord,
Measure for Measure	1	1	56	speech	verse	Angelo_MM	Let there be some more test made of my mettle
Measure for Measure	1	1	57	speech	verse	Angelo_MM	Before so noble and so great a figure
Measure for Measure	1	1	58	speech	verse	Angelo_MM	Be stamped upon it.
Measure for Measure	1	1	59	speech	verse	Duke_MM	No more evasion.
Measure for Measure	1	1	60	speech	verse	Duke_MM	We have with a leavened and preparèd choice
Measure for Measure	1	1	61	speech	verse	Duke_MM	Proceeded to you. Therefore, take your honors.
Measure for Measure	1	1	62	speech	verse	Duke_MM	Our haste from hence is of so quick condition
Measure for Measure	1	1	63	speech	verse	Duke_MM	That it prefers itself and leaves unquestioned
Measure for Measure	1	1	64	speech	verse	Duke_MM	Matters of needful value. We shall write to you,
Measure for Measure	1	1	65	speech	verse	Duke_MM	As time and our concernings shall importune,
Measure for Measure	1	1	66	speech	verse	Duke_MM	How it goes with us, and do look to know
Measure for Measure	1	1	67	speech	verse	Duke_MM	What doth befall you here. So fare you well.
Measure for Measure	1	1	68	speech	verse	Duke_MM	To th’ hopeful execution do I leave you
