title	act	scene	number	type	subtype	who	text
Much Ado About Nothing	1	1	1	direction	entrance	Leonato_Ado	Enter Leonato, Governor of Messina, Hero his daughter,and Beatrice his niece, with a Messenger.
Much Ado About Nothing	1	1	1	direction	entrance	Hero_Ado	Enter Leonato, Governor of Messina, Hero his daughter,and Beatrice his niece, with a Messenger.
Much Ado About Nothing	1	1	1	direction	entrance	Beatrice_Ado	Enter Leonato, Governor of Messina, Hero his daughter,and Beatrice his niece, with a Messenger.
Much Ado About Nothing	1	1	1	direction	entrance	MESSENGERS.LEONATO.1_Ado	Enter Leonato, Governor of Messina, Hero his daughter,and Beatrice his niece, with a Messenger.
Much Ado About Nothing	1	1	2	direction	business	Leonato_Ado	, with a letter
Much Ado About Nothing	1	1	3	speech	prose	Leonato_Ado	I learn in this letter that Don Pedro of Aragon comes this night to Messina.
Much Ado About Nothing	1	1	4	speech	prose	MESSENGERS.LEONATO.1_Ado	He is very near by this. He was not three leagues off when I left him.
Much Ado About Nothing	1	1	5	speech	prose	Leonato_Ado	How many gentlemen have you lost in this action?
Much Ado About Nothing	1	1	6	speech	prose	MESSENGERS.LEONATO.1_Ado	But few of any sort, and none of name.
Much Ado About Nothing	1	1	7	speech	prose	Leonato_Ado	A victory is twice itself when the achiever brings home full numbers. I find here that Don Pedro hath bestowed much honor on a young Florentine called Claudio.
Much Ado About Nothing	1	1	8	speech	prose	MESSENGERS.LEONATO.1_Ado	Much deserved on his part, and equally remembered by Don Pedro. He hath borne himself beyond the promise of his age, doing in the figure of a lamb the feats of a lion. He hath indeed better bettered expectation than you must expect of me to tell you how.
Much Ado About Nothing	1	1	9	speech	prose	Leonato_Ado	He hath an uncle here in Messina will be very much glad of it.
Much Ado About Nothing	1	1	10	speech	prose	MESSENGERS.LEONATO.1_Ado	I have already delivered him letters, and there appears much joy in him, even so much that joy could not show itself modest enough without a badge of bitterness.
Much Ado About Nothing	1	1	11	speech	prose	Leonato_Ado	Did he break out into tears?
Much Ado About Nothing	1	1	12	speech	prose	MESSENGERS.LEONATO.1_Ado	In great measure.
Much Ado About Nothing	1	1	13	speech	prose	Leonato_Ado	A kind overflow of kindness. There are no faces truer than those that are so washed. How much better is it to weep at joy than to joy at weeping!
