title	act	scene	number	type	subtype	who	text
Othello	1	1	1	direction	entrance	Roderigo_Oth	Enter Roderigo and Iago.
Othello	1	1	1	direction	entrance	Iago_Oth	Enter Roderigo and Iago.
Othello	1	1	2	speech	verse	Roderigo_Oth	Tush, never tell me! I take it much unkindly
Othello	1	1	3	speech	verse	Roderigo_Oth	That thou, Iago, who hast had my purse
Othello	1	1	4	speech	verse	Roderigo_Oth	As if the strings were thine, shouldst know of this.
Othello	1	1	5	speech	verse	Iago_Oth	’Sblood, but you’ll not hear me!
Othello	1	1	6	speech	verse	Iago_Oth	If ever I did dream of such a matter,
Othello	1	1	7	speech	verse	Iago_Oth	Abhor me.
Othello	1	1	8	speech	verse	Roderigo_Oth	Thou toldst me thou didst hold him in thy hate.
Othello	1	1	9	speech	verse	Iago_Oth	Despise me
Othello	1	1	10	speech	verse	Iago_Oth	If I do not. Three great ones of the city,
Othello	1	1	11	speech	verse	Iago_Oth	In personal suit to make me his lieutenant,
Othello	1	1	12	speech	verse	Iago_Oth	Off-capped to him; and, by the faith of man,
Othello	1	1	13	speech	verse	Iago_Oth	I know my price, I am worth no worse a place.
Othello	1	1	14	speech	verse	Iago_Oth	But he, as loving his own pride and purposes,
Othello	1	1	15	speech	verse	Iago_Oth	Evades them with a bombast circumstance,
Othello	1	1	16	speech	verse	Iago_Oth	Horribly stuffed with epithets of war,
Othello	1	1	17	speech	verse	Iago_Oth	And in conclusion,
Othello	1	1	18	speech	verse	Iago_Oth	Nonsuits my mediators. For “Certes,” says he,
Othello	1	1	19	speech	verse	Iago_Oth	“I have already chose my officer.”
Othello	1	1	20	speech	verse	Iago_Oth	And what was he?
Othello	1	1	21	speech	verse	Iago_Oth	Forsooth, a great arithmetician,
Othello	1	1	22	speech	verse	Iago_Oth	One Michael Cassio, a Florentine,
Othello	1	1	23	speech	verse	Iago_Oth	A fellow almost damned in a fair wife,
Othello	1	1	24	speech	verse	Iago_Oth	That never set a squadron in the field,
Othello	1	1	25	speech	verse	Iago_Oth	Nor the division of a battle knows
Othello	1	1	26	speech	verse	Iago_Oth	More than a spinster—unless the bookish theoric,
Othello	1	1	27	speech	verse	Iago_Oth	Wherein the togèd consuls can propose
Othello	1	1	28	speech	verse	Iago_Oth	As masterly as he. Mere prattle without practice
Othello	1	1	29	speech	verse	Iago_Oth	Is all his soldiership. But he, sir, had th’ election;
Othello	1	1	30	speech	verse	Iago_Oth	And I, of whom his eyes had seen the proof
Othello	1	1	31	speech	verse	Iago_Oth	At Rhodes, at Cyprus, and on other grounds
Othello	1	1	32	speech	verse	Iago_Oth	Christened and heathen, must be beleed and calmed
Othello	1	1	33	speech	verse	Iago_Oth	By debitor and creditor. This countercaster,
Othello	1	1	34	speech	verse	Iago_Oth	He, in good time, must his lieutenant be,
Othello	1	1	35	speech	verse	Iago_Oth	And I, God bless the mark, his Moorship’s ancient.
