title	act	scene	number	type	subtype	who	text
Pericles	1	1	1	direction	entrance	Antiochus_Per	Enter Antiochus, Prince Pericles, and followers.
Pericles	1	1	1	direction	entrance	Pericles_Per	Enter Antiochus, Prince Pericles, and followers.
Pericles	1	1	1	direction	entrance	FOLLOWERS.ANTIOCHUS_Per	Enter Antiochus, Prince Pericles, and followers.
Pericles	1	1	2	speech	verse	Antiochus_Per	Young Prince of Tyre, you have at large received
Pericles	1	1	3	speech	verse	Antiochus_Per	The danger of the task you undertake.
Pericles	1	1	4	speech	verse	Pericles_Per	I have, Antiochus, and with a soul
Pericles	1	1	5	speech	verse	Pericles_Per	Emboldened with the glory of her praise
Pericles	1	1	6	speech	verse	Pericles_Per	Think death no hazard in this enterprise.
Pericles	1	1	7	speech	verse	Antiochus_Per	Music!
Pericles	1	1	8	direction	sound	Antiochus_Per	Music sounds offstage.
Pericles	1	1	9	speech	verse	Antiochus_Per	Bring in our daughter, clothèd like a bride
Pericles	1	1	10	speech	verse	Antiochus_Per	For embracements even of Jove himself,
Pericles	1	1	11	speech	verse	Antiochus_Per	At whose conception, till Lucina reigned,
Pericles	1	1	12	speech	verse	Antiochus_Per	Nature this dowry gave: to glad her presence,
Pericles	1	1	13	speech	verse	Antiochus_Per	The senate house of planets all did sit
Pericles	1	1	14	speech	verse	Antiochus_Per	To knit in her their best perfections.
Pericles	1	1	15	direction	entrance	Daughter_Per	Enter Antiochus’ daughter.
Pericles	1	1	16	speech	verse	Pericles_Per	See where she comes, appareled like the spring,
Pericles	1	1	17	speech	verse	Pericles_Per	Graces her subjects, and her thoughts the king
Pericles	1	1	18	speech	verse	Pericles_Per	Of every virtue gives renown to men!
Pericles	1	1	19	speech	verse	Pericles_Per	Her face the book of praises, where is read
Pericles	1	1	20	speech	verse	Pericles_Per	Nothing but curious pleasures, as from thence
Pericles	1	1	21	speech	verse	Pericles_Per	Sorrow were ever razed, and testy wrath
Pericles	1	1	22	speech	verse	Pericles_Per	Could never be her mild companion.
Pericles	1	1	23	speech	verse	Pericles_Per	You gods that made me man, and sway in love,
Pericles	1	1	24	speech	verse	Pericles_Per	That have inflamed desire in my breast
Pericles	1	1	25	speech	verse	Pericles_Per	To taste the fruit of yon celestial tree
Pericles	1	1	26	speech	verse	Pericles_Per	Or die in th’ adventure, be my helps,
Pericles	1	1	27	speech	verse	Pericles_Per	As I am son and servant to your will,
Pericles	1	1	28	speech	verse	Pericles_Per	To compass such a boundless happiness.
Pericles	1	1	29	speech	verse	Antiochus_Per	Prince Pericles—
Pericles	1	1	30	speech	verse	Pericles_Per	That would be son to great Antiochus.
Pericles	1	1	31	speech	verse	Antiochus_Per	Before thee stands this fair Hesperides,
Pericles	1	1	32	speech	verse	Antiochus_Per	With golden fruit, but dangerous to be touched;
Pericles	1	1	33	speech	verse	Antiochus_Per	For deathlike dragons here affright thee hard.
Pericles	1	1	34	speech	verse	Antiochus_Per	Her face, like heaven, enticeth thee to view
Pericles	1	1	35	speech	verse	Antiochus_Per	Her countless glory, which desert must gain;
Pericles	1	1	36	speech	verse	Antiochus_Per	And which without desert, because thine eye
Pericles	1	1	37	speech	verse	Antiochus_Per	Presumes to reach, all the whole heap must die.
Pericles	1	1	38	direction	business	Antiochus_Per	He points to the heads.
