title	act	scene	number	type	subtype	who	text
Richard III	1	1	1	direction	entrance	RichardIII_R3	Enter Richard, Duke of Gloucester, alone.
Richard III	1	1	2	speech	verse	RichardIII_R3	Now is the winter of our discontent
Richard III	1	1	3	speech	verse	RichardIII_R3	Made glorious summer by this son of York,
Richard III	1	1	4	speech	verse	RichardIII_R3	And all the clouds that loured upon our house
Richard III	1	1	5	speech	verse	RichardIII_R3	In the deep bosom of the ocean buried.
Richard III	1	1	6	speech	verse	RichardIII_R3	Now are our brows bound with victorious wreaths,
Richard III	1	1	7	speech	verse	RichardIII_R3	Our bruisèd arms hung up for monuments,
Richard III	1	1	8	speech	verse	RichardIII_R3	Our stern alarums changed to merry meetings,
Richard III	1	1	9	speech	verse	RichardIII_R3	Our dreadful marches to delightful measures.
Richard III	1	1	10	speech	verse	RichardIII_R3	Grim-visaged war hath smoothed his wrinkled front;
Richard III	1	1	11	speech	verse	RichardIII_R3	And now, instead of mounting barbèd steeds
Richard III	1	1	12	speech	verse	RichardIII_R3	To fright the souls of fearful adversaries,
Richard III	1	1	13	speech	verse	RichardIII_R3	He capers nimbly in a lady’s chamber
Richard III	1	1	14	speech	verse	RichardIII_R3	To the lascivious pleasing of a lute.
Richard III	1	1	15	speech	verse	RichardIII_R3	But I, that am not shaped for sportive tricks,
Richard III	1	1	16	speech	verse	RichardIII_R3	Nor made to court an amorous looking glass;
Richard III	1	1	17	speech	verse	RichardIII_R3	I, that am rudely stamped and want love’s majesty
Richard III	1	1	18	speech	verse	RichardIII_R3	To strut before a wanton ambling nymph;
Richard III	1	1	19	speech	verse	RichardIII_R3	I, that am curtailed of this fair proportion,
Richard III	1	1	20	speech	verse	RichardIII_R3	Cheated of feature by dissembling nature,
Richard III	1	1	21	speech	verse	RichardIII_R3	Deformed, unfinished, sent before my time
Richard III	1	1	22	speech	verse	RichardIII_R3	Into this breathing world scarce half made up,
Richard III	1	1	23	speech	verse	RichardIII_R3	And that so lamely and unfashionable
Richard III	1	1	24	speech	verse	RichardIII_R3	That dogs bark at me as I halt by them—
Richard III	1	1	25	speech	verse	RichardIII_R3	Why, I, in this weak piping time of peace,
Richard III	1	1	26	speech	verse	RichardIII_R3	Have no delight to pass away the time,
