title	act	scene	number	type	subtype	who	text
The Comedy of Errors	1	1	1	direction	entrance	Duke_Err	Enter Solinus the Duke of Ephesus, with Egeon the Merchant of Syracuse, Jailer, and other Attendants.
The Comedy of Errors	1	1	1	direction	entrance	Egeon_Err	Enter Solinus the Duke of Ephesus, with Egeon the Merchant of Syracuse, Jailer, and other Attendants.
The Comedy of Errors	1	1	1	direction	entrance	OFFICERS.Jailer_Err	Enter Solinus the Duke of Ephesus, with Egeon the Merchant of Syracuse, Jailer, and other Attendants.
The Comedy of Errors	1	1	1	direction	entrance	ATTENDANTS_Err	Enter Solinus the Duke of Ephesus, with Egeon the Merchant of Syracuse, Jailer, and other Attendants.
The Comedy of Errors	1	1	2	speech	verse	Egeon_Err	Proceed, Solinus, to procure my fall,
The Comedy of Errors	1	1	3	speech	verse	Egeon_Err	And by the doom of death end woes and all.
The Comedy of Errors	1	1	4	speech	verse	Duke_Err	Merchant of Syracusa, plead no more.
The Comedy of Errors	1	1	5	speech	verse	Duke_Err	I am not partial to infringe our laws.
The Comedy of Errors	1	1	6	speech	verse	Duke_Err	The enmity and discord which of late
The Comedy of Errors	1	1	7	speech	verse	Duke_Err	Sprung from the rancorous outrage of your duke
The Comedy of Errors	1	1	8	speech	verse	Duke_Err	To merchants, our well-dealing countrymen,
The Comedy of Errors	1	1	9	speech	verse	Duke_Err	Who, wanting guilders to redeem their lives,
The Comedy of Errors	1	1	10	speech	verse	Duke_Err	Have sealed his rigorous statutes with their bloods,
The Comedy of Errors	1	1	11	speech	verse	Duke_Err	Excludes all pity from our threat’ning looks.
The Comedy of Errors	1	1	12	speech	verse	Duke_Err	For since the mortal and intestine jars
The Comedy of Errors	1	1	13	speech	verse	Duke_Err	’Twixt thy seditious countrymen and us,
The Comedy of Errors	1	1	14	speech	verse	Duke_Err	It hath in solemn synods been decreed,
The Comedy of Errors	1	1	15	speech	verse	Duke_Err	Both by the Syracusians and ourselves,
The Comedy of Errors	1	1	16	speech	verse	Duke_Err	To admit no traffic to our adverse towns.
The Comedy of Errors	1	1	17	speech	verse	Duke_Err	Nay, more, if any born at Ephesus
The Comedy of Errors	1	1	18	speech	verse	Duke_Err	Be seen at Syracusian marts and fairs;
The Comedy of Errors	1	1	19	speech	verse	Duke_Err	Again, if any Syracusian born
The Comedy of Errors	1	1	20	speech	verse	Duke_Err	Come to the bay of Ephesus, he dies,
The Comedy of Errors	1	1	21	speech	verse	Duke_Err	His goods confiscate to the Duke’s dispose,
The Comedy of Errors	1	1	22	speech	verse	Duke_Err	Unless a thousand marks be levièd
The Comedy of Errors	1	1	23	speech	verse	Duke_Err	To quit the penalty and to ransom him.
The Comedy of Errors	1	1	24	speech	verse	Duke_Err	Thy substance, valued at the highest rate,
The Comedy of Errors	1	1	25	speech	verse	Duke_Err	Cannot amount unto a hundred marks;
The Comedy of Errors	1	1	26	speech	verse	Duke_Err	Therefore by law thou art condemned to die.
The Comedy of Errors	1	1	27	speech	verse	Egeon_Err	Yet this my comfort: when your words are done,
The Comedy of Errors	1	1	28	speech	verse	Egeon_Err	My woes end likewise with the evening sun.
The Comedy of Errors	1	1	29	speech	verse	Duke_Err	Well, Syracusian, say in brief the cause
The Comedy of Errors	1	1	30	speech	verse	Duke_Err	Why thou departedst from thy native home
The Comedy of Errors	1	1	31	speech	verse	Duke_Err	And for what cause thou cam’st to Ephesus.
The Comedy of Errors	1	1	32	speech	verse	Egeon_Err	A heavier task could not have been imposed
The Comedy of Errors	1	1	33	speech	verse	Egeon_Err	Than I to speak my griefs unspeakable;
The Comedy of Errors	1	1	34	speech	verse	Egeon_Err	Yet, that the world may witness that my end
The Comedy of Errors	1	1	35	speech	verse	Egeon_Err	Was wrought by nature, not by vile offense,
The Comedy of Errors	1	1	36	speech	verse	Egeon_Err	I’ll utter what my sorrow gives me leave.
The Comedy of Errors	1	1	37	speech	verse	Egeon_Err	In Syracusa was I born, and wed
The Comedy of Errors	1	1	38	speech	verse	Egeon_Err	Unto a woman happy but for me,
The Comedy of Errors	1	1	39	speech	verse	Egeon_Err	And by me, had not our hap been bad.
The Comedy of Errors	1	1	40	speech	verse	Egeon_Err	With her I lived in joy. Our wealth increased
The Comedy of Errors	1	1	41	speech	verse	Egeon_Err	By prosperous voyages I often made
The Comedy of Errors	1	1	42	speech	verse	Egeon_Err	To Epidamium, till my factor’s death
The Comedy of Errors	1	1	43	speech	verse	Egeon_Err	And the great care of goods at random left
The Comedy of Errors	1	1	44	speech	verse	Egeon_Err	Drew me from kind embracements of my spouse;
The Comedy of Errors	1	1	45	speech	verse	Egeon_Err	From whom my absence was not six months old
The Comedy of Errors	1	1	46	speech	verse	Egeon_Err	Before herself—almost at fainting under
The Comedy of Errors	1	1	47	speech	verse	Egeon_Err	The pleasing punishment that women bear—
The Comedy of Errors	1	1	48	speech	verse	Egeon_Err	Had made provision for her following me
The Comedy of Errors	1	1	49	speech	verse	Egeon_Err	And soon and safe arrivèd where I was.
The Comedy of Errors	1	1	50	speech	verse	Egeon_Err	There had she not been long but she became
The Comedy of Errors	1	1	51	speech	verse	Egeon_Err	A joyful mother of two goodly sons,
The Comedy of Errors	1	1	52	speech	verse	Egeon_Err	And, which was strange, the one so like the other
The Comedy of Errors	1	1	53	speech	verse	Egeon_Err	As could not be distinguished but by names.
The Comedy of Errors	1	1	54	speech	verse	Egeon_Err	That very hour, and in the selfsame inn,
The Comedy of Errors	1	1	55	speech	verse	Egeon_Err	A mean woman was deliverèd
The Comedy of Errors	1	1	56	speech	verse	Egeon_Err	Of such a burden, male twins, both alike.
The Comedy of Errors	1	1	57	speech	verse	Egeon_Err	Those, for their parents were exceeding poor,
The Comedy of Errors	1	1	58	speech	verse	Egeon_Err	I bought and brought up to attend my sons.
The Comedy of Errors	1	1	59	speech	verse	Egeon_Err	My wife, not meanly proud of two such boys,
The Comedy of Errors	1	1	60	speech	verse	Egeon_Err	Made daily motions for our home return.
The Comedy of Errors	1	1	61	speech	verse	Egeon_Err	Unwilling, I agreed. Alas, too soon
The Comedy of Errors	1	1	62	speech	verse	Egeon_Err	We came aboard.
The Comedy of Errors	1	1	63	speech	verse	Egeon_Err	A league from Epidamium had we sailed
The Comedy of Errors	1	1	64	speech	verse	Egeon_Err	Before the always-wind-obeying deep
The Comedy of Errors	1	1	65	speech	verse	Egeon_Err	Gave any tragic instance of our harm;
The Comedy of Errors	1	1	66	speech	verse	Egeon_Err	But longer did we not retain much hope,
