title	act	scene	number	type	subtype	who	text
The Merchant of Venice	1	1	1	direction	entrance	Antonio_MV	Enter Antonio, Salarino, and Solanio.
The Merchant of Venice	1	1	1	direction	entrance	Salarino_MV	Enter Antonio, Salarino, and Solanio.
The Merchant of Venice	1	1	1	direction	entrance	Solanio_MV	Enter Antonio, Salarino, and Solanio.
The Merchant of Venice	1	1	2	speech	verse	Antonio_MV	In sooth I know not why I am so sad.
The Merchant of Venice	1	1	3	speech	verse	Antonio_MV	It wearies me, you say it wearies you.
The Merchant of Venice	1	1	4	speech	verse	Antonio_MV	But how I caught it, found it, or came by it,
The Merchant of Venice	1	1	5	speech	verse	Antonio_MV	What stuff ’tis made of, whereof it is born,
The Merchant of Venice	1	1	6	speech	verse	Antonio_MV	I am to learn.
The Merchant of Venice	1	1	7	speech	verse	Antonio_MV	And such a want-wit sadness makes of me
The Merchant of Venice	1	1	8	speech	verse	Antonio_MV	That I have much ado to know myself.
The Merchant of Venice	1	1	9	speech	verse	Salarino_MV	Your mind is tossing on the ocean,
The Merchant of Venice	1	1	10	speech	verse	Salarino_MV	There where your argosies with portly sail
The Merchant of Venice	1	1	11	speech	verse	Salarino_MV	(Like signiors and rich burghers on the flood,
The Merchant of Venice	1	1	12	speech	verse	Salarino_MV	Or, as it were, the pageants of the sea)
The Merchant of Venice	1	1	13	speech	verse	Salarino_MV	Do overpeer the petty traffickers
The Merchant of Venice	1	1	14	speech	verse	Salarino_MV	That curtsy to them, do them reverence,
The Merchant of Venice	1	1	15	speech	verse	Salarino_MV	As they fly by them with their woven wings.
The Merchant of Venice	1	1	16	speech	verse	Solanio_MV	Believe me, sir, had I such venture forth,
The Merchant of Venice	1	1	17	speech	verse	Solanio_MV	The better part of my affections would
The Merchant of Venice	1	1	18	speech	verse	Solanio_MV	Be with my hopes abroad. I should be still
The Merchant of Venice	1	1	19	speech	verse	Solanio_MV	Plucking the grass to know where sits the wind,
The Merchant of Venice	1	1	20	speech	verse	Solanio_MV	Piring in maps for ports and piers and roads;
The Merchant of Venice	1	1	21	speech	verse	Solanio_MV	And every object that might make me fear
The Merchant of Venice	1	1	22	speech	verse	Solanio_MV	Misfortune to my ventures, out of doubt
The Merchant of Venice	1	1	23	speech	verse	Solanio_MV	Would make me sad.
The Merchant of Venice	1	1	24	speech	verse	Salarino_MV	My wind cooling my broth
The Merchant of Venice	1	1	25	speech	verse	Salarino_MV	Would blow me to an ague when I thought
The Merchant of Venice	1	1	26	speech	verse	Salarino_MV	What harm a wind too great might do at sea.
The Merchant of Venice	1	1	27	speech	verse	Salarino_MV	I should not see the sandy hourglass run
The Merchant of Venice	1	1	28	speech	verse	Salarino_MV	But I should think of shallows and of flats,
The Merchant of Venice	1	1	29	speech	verse	Salarino_MV	And see my wealthy Andrew docked in sand,
The Merchant of Venice	1	1	30	speech	verse	Salarino_MV	Vailing her high top lower than her ribs
The Merchant of Venice	1	1	31	speech	verse	Salarino_MV	To kiss her burial. Should I go to church
The Merchant of Venice	1	1	32	speech	verse	Salarino_MV	And see the holy edifice of stone
The Merchant of Venice	1	1	33	speech	verse	Salarino_MV	And not bethink me straight of dangerous rocks,
The Merchant of Venice	1	1	34	speech	verse	Salarino_MV	Which, touching but my gentle vessel’s side,
The Merchant of Venice	1	1	35	speech	verse	Salarino_MV	Would scatter all her spices on the stream,
The Merchant of Venice	1	1	36	speech	verse	Salarino_MV	Enrobe the roaring waters with my silks,
The Merchant of Venice	1	1	37	speech	verse	Salarino_MV	And, in a word, but even now worth this
The Merchant of Venice	1	1	38	speech	verse	Salarino_MV	And now worth nothing? Shall I have the thought
The Merchant of Venice	1	1	39	speech	verse	Salarino_MV	To think on this, and shall I lack the thought
The Merchant of Venice	1	1	40	speech	verse	Salarino_MV	That such a thing bechanced would make me sad?
The Merchant of Venice	1	1	41	speech	verse	Salarino_MV	But tell not me: I know Antonio
The Merchant of Venice	1	1	42	speech	verse	Salarino_MV	Is sad to think upon his merchandise.
The Merchant of Venice	1	1	43	speech	verse	Antonio_MV	Believe me, no. I thank my fortune for it,
The Merchant of Venice	1	1	44	speech	verse	Antonio_MV	My ventures are not in one bottom trusted,
The Merchant of Venice	1	1	45	speech	verse	Antonio_MV	Nor to one place; nor is my whole estate
The Merchant of Venice	1	1	46	speech	verse	Antonio_MV	Upon the fortune of this present year:
The Merchant of Venice	1	1	47	speech	verse	Antonio_MV	Therefore my merchandise makes me not sad.
The Merchant of Venice	1	1	48	speech	verse	Solanio_MV	Why then you are in love.
The Merchant of Venice	1	1	49	speech	verse	Antonio_MV	Fie, fie!
The Merchant of Venice	1	1	50	speech	verse	Solanio_MV	Not in love neither? Then let us say you are sad
The Merchant of Venice	1	1	51	speech	verse	Solanio_MV	Because you are not merry; and ’twere as easy
The Merchant of Venice	1	1	52	speech	verse	Solanio_MV	For you to laugh and leap, and say you are merry
The Merchant of Venice	1	1	53	speech	verse	Solanio_MV	Because you are not sad. Now, by two-headed Janus,
The Merchant of Venice	1	1	54	speech	verse	Solanio_MV	Nature hath framed strange fellows in her time:
The Merchant of Venice	1	1	55	speech	verse	Solanio_MV	Some that will evermore peep through their eyes
The Merchant of Venice	1	1	56	speech	verse	Solanio_MV	And laugh like parrots at a bagpiper,
The Merchant of Venice	1	1	57	speech	verse	Solanio_MV	And other of such vinegar aspect
The Merchant of Venice	1	1	58	speech	verse	Solanio_MV	That they’ll not show their teeth in way of smile
The Merchant of Venice	1	1	59	speech	verse	Solanio_MV	Though Nestor swear the jest be laughable.
The Merchant of Venice	1	1	60	direction	entrance	Bassanio_MV	Enter Bassanio, Lorenzo, and Gratiano.
The Merchant of Venice	1	1	60	direction	entrance	Lorenzo_MV	Enter Bassanio, Lorenzo, and Gratiano.
The Merchant of Venice	1	1	60	direction	entrance	Gratiano_MV	Enter Bassanio, Lorenzo, and Gratiano.
The Merchant of Venice	1	1	61	speech	verse	Solanio_MV	Here comes Bassanio, your most noble kinsman,
The Merchant of Venice	1	1	62	speech	verse	Solanio_MV	Gratiano, and Lorenzo. Fare you well.
The Merchant of Venice	1	1	63	speech	verse	Solanio_MV	We leave you now with better company.
The Merchant of Venice	1	1	64	speech	verse	Salarino_MV	I would have stayed till I had made you merry,
The Merchant of Venice	1	1	65	speech	verse	Salarino_MV	If worthier friends had not prevented me.
The Merchant of Venice	1	1	66	speech	verse	Antonio_MV	Your worth is very dear in my regard.
The Merchant of Venice	1	1	67	speech	verse	Antonio_MV	I take it your own business calls on you,
The Merchant of Venice	1	1	68	speech	verse	Antonio_MV	And you embrace th’ occasion to depart.
The Merchant of Venice	1	1	69	speech	verse	Salarino_MV	Good morrow, my good lords.
The Merchant of Venice	1	1	70	speech	verse	Bassanio_MV	Good signiors both, when shall we laugh? Say, when?
The Merchant of Venice	1	1	71	speech	verse	Bassanio_MV	You grow exceeding strange. Must it be so?
The Merchant of Venice	1	1	72	speech	verse	Salarino_MV	We’ll make our leisures to attend on yours.
The Merchant of Venice	1	1	73	direction	exit	Salarino_MV	Salarino and Solanio exit.
The Merchant of Venice	1	1	73	direction	exit	Solanio_MV	Salarino and Solanio exit.
The Merchant of Venice	1	1	74	speech	verse	Lorenzo_MV	My Lord Bassanio, since you have found Antonio,
The Merchant of Venice	1	1	75	speech	verse	Lorenzo_MV	We two will leave you. But at dinner time
The Merchant of Venice	1	1	76	speech	verse	Lorenzo_MV	I pray you have in mind where we must meet.
The Merchant of Venice	1	1	77	speech	verse	Bassanio_MV	I will not fail you.
The Merchant of Venice	1	1	78	speech	verse	Gratiano_MV	You look not well, Signior Antonio.
The Merchant of Venice	1	1	79	speech	verse	Gratiano_MV	You have too much respect upon the world.
The Merchant of Venice	1	1	80	speech	verse	Gratiano_MV	They lose it that do buy it with much care.
