title	act	scene	number	type	subtype	who	text
The Tempest	1	1	1	direction	entrance	Shipmaster_Tmp	Enter a Shipmaster and a Boatswain.
The Tempest	1	1	1	direction	entrance	Boatswain_Tmp	Enter a Shipmaster and a Boatswain.
The Tempest	1	1	2	direction	sound		A tempestuous noise of thunder and lightning heard.
The Tempest	1	1	3	speech	prose	Shipmaster_Tmp	Boatswain!
The Tempest	1	1	4	speech	prose	Boatswain_Tmp	Here, master. What cheer?
The Tempest	1	1	5	speech	prose	Shipmaster_Tmp	Good, speak to th’ mariners. Fall to ’t yarely, or we run ourselves aground. Bestir, bestir!
The Tempest	1	1	6	direction	exit	Shipmaster_Tmp	He exits.
The Tempest	1	1	7	direction	entrance	SAILORS_Tmp	Enter Mariners.
The Tempest	1	1	8	speech	prose	Boatswain_Tmp	Heigh, my hearts! Cheerly, cheerly, my hearts! Yare, yare! Take in the topsail. Tend to th’ Master’s whistle.—Blow till thou burst thy wind, if room enough!
The Tempest	1	1	9	direction	entrance	Alonso_Tmp	Enter Alonso, Sebastian, Antonio, Ferdinand, Gonzalo,and others.
The Tempest	1	1	9	direction	entrance	Sebastian_Tmp	Enter Alonso, Sebastian, Antonio, Ferdinand, Gonzalo,and others.
The Tempest	1	1	9	direction	entrance	Antonio_Tmp	Enter Alonso, Sebastian, Antonio, Ferdinand, Gonzalo,and others.
The Tempest	1	1	9	direction	entrance	Ferdinand_Tmp	Enter Alonso, Sebastian, Antonio, Ferdinand, Gonzalo,and others.
The Tempest	1	1	9	direction	entrance	Gonzalo_Tmp	Enter Alonso, Sebastian, Antonio, Ferdinand, Gonzalo,and others.
The Tempest	1	1	10	speech	prose	Alonso_Tmp	Good boatswain, have care. Where’s the Master? Play the men.
The Tempest	1	1	11	speech	prose	Boatswain_Tmp	I pray now, keep below.
The Tempest	1	1	12	speech	prose	Antonio_Tmp	Where is the Master, boatswain?
The Tempest	1	1	13	speech	prose	Boatswain_Tmp	Do you not hear him? You mar our labor. Keep your cabins. You do assist the storm.
The Tempest	1	1	14	speech	prose	Gonzalo_Tmp	Nay, good, be patient.
The Tempest	1	1	15	speech	prose	Boatswain_Tmp	When the sea is. Hence! What cares these roarers for the name of king? To cabin! Silence! Trouble us not.
The Tempest	1	1	16	speech	prose	Gonzalo_Tmp	Good, yet remember whom thou hast aboard.
The Tempest	1	1	17	speech	prose	Boatswain_Tmp	None that I more love than myself. You are a councillor; if you can command these elements to silence, and work the peace of the present, we will not hand a rope more. Use your authority. If you cannot, give thanks you have lived so long, and make yourself ready in your cabin for the mischance of the hour, if it so hap.—Cheerly, good hearts!—Out of our way, I say!
The Tempest	1	1	18	direction	exit	Boatswain_Tmp	He exits.
The Tempest	1	1	19	speech	prose	Gonzalo_Tmp	I have great comfort from this fellow. Methinks he hath no drowning mark upon him. His complexion is perfect gallows. Stand fast, good Fate, to his hanging. Make the rope of his destiny our cable, for our own doth little advantage. If he be not born to be hanged, our case is miserable.
The Tempest	1	1	20	direction	exit	Gonzalo_Tmp	He exits with Alonso, Sebastian,and the other courtiers.
The Tempest	1	1	20	direction	exit	Alonso_Tmp	He exits with Alonso, Sebastian,and the other courtiers.
The Tempest	1	1	20	direction	exit	Sebastian_Tmp	He exits with Alonso, Sebastian,and the other courtiers.
The Tempest	1	1	20	direction	exit	Antonio_Tmp	He exits with Alonso, Sebastian,and the other courtiers.
