title	act	scene	number	type	subtype	who	text
Timon of Athens	1	1	1	direction	entrance	Poet_Tim	Enter Poet, Painter, Jeweler, and Merchant, at several doors.
Timon of Athens	1	1	1	direction	entrance	Painter_Tim	Enter Poet, Painter, Jeweler, and Merchant, at several doors.
Timon of Athens	1	1	1	direction	entrance	Jeweler_Tim	Enter Poet, Painter, Jeweler, and Merchant, at several doors.
Timon of Athens	1	1	1	direction	entrance	Merchant_Tim	Enter Poet, Painter, Jeweler, and Merchant, at several doors.
Timon of Athens	1	1	2	speech	verse	Poet_Tim	Good day, sir.
Timon of Athens	1	1	3	speech	verse	Painter_Tim	I am glad you’re well.
Timon of Athens	1	1	4	speech	verse	Poet_Tim	I have not seen you long. How goes the world?
Timon of Athens	1	1	5	speech	verse	Painter_Tim	It wears, sir, as it grows.
Timon of Athens	1	1	6	speech	verse	Poet_Tim	Ay, that’s well known.
Timon of Athens	1	1	7	speech	verse	Poet_Tim	But what particular rarity, what strange,
Timon of Athens	1	1	8	speech	verse	Poet_Tim	Which manifold record not matches? See,
Timon of Athens	1	1	9	speech	verse	Poet_Tim	Magic of bounty, all these spirits thy power
Timon of Athens	1	1	10	speech	verse	Poet_Tim	Hath conjured to attend. I know the merchant.
Timon of Athens	1	1	11	speech	verse	Painter_Tim	I know them both. Th’ other’s a jeweler.
Timon of Athens	1	1	12	direction	delivery	Merchant_Tim	, to Jeweler
Timon of Athens	1	1	13	speech	verse	Merchant_Tim	O, ’tis a worthy lord!
Timon of Athens	1	1	14	speech	verse	Jeweler_Tim	Nay, that’s most fixed.
Timon of Athens	1	1	15	speech	verse	Merchant_Tim	A most incomparable man, breathed, as it were,
Timon of Athens	1	1	16	speech	verse	Merchant_Tim	To an untirable and continuate goodness.
Timon of Athens	1	1	17	speech	verse	Merchant_Tim	He passes.
Timon of Athens	1	1	18	speech	verse	Jeweler_Tim	I have a jewel here—
Timon of Athens	1	1	19	speech	verse	Merchant_Tim	O, pray, let’s see ’t. For the Lord Timon, sir?
Timon of Athens	1	1	20	speech	verse	Jeweler_Tim	If he will touch the estimate. But for that—
Timon of Athens	1	1	21	direction	delivery	Poet_Tim	, to Painter
Timon of Athens	1	1	22	speech	verse	Poet_Tim	When we for recompense have praised the vile,
Timon of Athens	1	1	23	speech	verse	Poet_Tim	It stains the glory in that happy verse
Timon of Athens	1	1	24	speech	verse	Poet_Tim	Which aptly sings the good.
Timon of Athens	1	1	25	direction	business	Merchant_Tim	, looking at the jewel
Timon of Athens	1	1	26	speech	verse	Merchant_Tim	’Tis a good form.
Timon of Athens	1	1	27	speech	verse	Jeweler_Tim	And rich. Here is a water, look ye.
Timon of Athens	1	1	28	direction	delivery	Painter_Tim	, to Poet
Timon of Athens	1	1	29	speech	verse	Painter_Tim	You are rapt, sir, in some work, some dedication
Timon of Athens	1	1	30	speech	verse	Painter_Tim	To the great lord.
Timon of Athens	1	1	31	speech	verse	Poet_Tim	A thing slipped idly from me.
Timon of Athens	1	1	32	speech	verse	Poet_Tim	Our poesy is as a gum which oozes
Timon of Athens	1	1	33	speech	verse	Poet_Tim	From whence ’tis nourished. The fire i’ th’ flint
Timon of Athens	1	1	34	speech	verse	Poet_Tim	Shows not till it be struck; our gentle flame
Timon of Athens	1	1	35	speech	verse	Poet_Tim	Provokes itself and, like the current, flies
Timon of Athens	1	1	36	speech	verse	Poet_Tim	Each bound it chases. What have you there?
Timon of Athens	1	1	37	speech	verse	Painter_Tim	A picture, sir. When comes your book forth?
Timon of Athens	1	1	38	speech	verse	Poet_Tim	Upon the heels of my presentment, sir.
