title	act	scene	number	type	subtype	who	text
Troilus and Cressida	1	1	1	direction	entrance	Pandarus_Tro	Enter Pandarus and Troilus.
Troilus and Cressida	1	1	1	direction	entrance	Troilus_Tro	Enter Pandarus and Troilus.
Troilus and Cressida	1	1	2	speech	verse	Troilus_Tro	Call here my varlet; I’ll unarm again.
Troilus and Cressida	1	1	3	speech	verse	Troilus_Tro	Why should I war without the walls of Troy
Troilus and Cressida	1	1	4	speech	verse	Troilus_Tro	That find such cruel battle here within?
Troilus and Cressida	1	1	5	speech	verse	Troilus_Tro	Each Trojan that is master of his heart,
Troilus and Cressida	1	1	6	speech	verse	Troilus_Tro	Let him to field; Troilus, alas, hath none.
Troilus and Cressida	1	1	7	speech	prose	Pandarus_Tro	Will this gear ne’er be mended?
Troilus and Cressida	1	1	8	speech	verse	Troilus_Tro	The Greeks are strong and skilful to their strength,
Troilus and Cressida	1	1	9	speech	verse	Troilus_Tro	Fierce to their skill, and to their fierceness valiant;
Troilus and Cressida	1	1	10	speech	verse	Troilus_Tro	But I am weaker than a woman’s tear,
Troilus and Cressida	1	1	11	speech	verse	Troilus_Tro	Tamer than sleep, fonder than ignorance,
Troilus and Cressida	1	1	12	speech	verse	Troilus_Tro	Less valiant than the virgin in the night,
Troilus and Cressida	1	1	13	speech	verse	Troilus_Tro	And skilless as unpracticed infancy.
Troilus and Cressida	1	1	14	speech	prose	Pandarus_Tro	Well, I have told you enough of this. For my part, I’ll not meddle nor make no farther. He that will have a cake out of the wheat must tarry the grinding.
Troilus and Cressida	1	1	15	speech	prose	Troilus_Tro	Have I not tarried?
Troilus and Cressida	1	1	16	speech	prose	Pandarus_Tro	Ay, the grinding; but you must tarry the bolting.
Troilus and Cressida	1	1	17	speech	prose	Troilus_Tro	Have I not tarried?
Troilus and Cressida	1	1	18	speech	prose	Pandarus_Tro	Ay, the bolting; but you must tarry the leavening.
Troilus and Cressida	1	1	19	speech	prose	Troilus_Tro	Still have I tarried.
Troilus and Cressida	1	1	20	speech	prose	Pandarus_Tro	Ay, to the leavening; but here’s yet in the word hereafter the kneading, the making of the cake, the heating the oven, and the baking. Nay, you must stay the cooling too, or you may chance burn your lips.
Troilus and Cressida	1	1	21	speech	verse	Troilus_Tro	Patience herself, what goddess e’er she be,
Troilus and Cressida	1	1	22	speech	verse	Troilus_Tro	Doth lesser blench at suff’rance than I do.
Troilus and Cressida	1	1	23	speech	verse	Troilus_Tro	At Priam’s royal table do I sit
Troilus and Cressida	1	1	24	speech	verse	Troilus_Tro	And when fair Cressid comes into my thoughts—
Troilus and Cressida	1	1	25	speech	verse	Troilus_Tro	So, traitor! “When she comes”? When is she thence?
Troilus and Cressida	1	1	26	speech	prose	Pandarus_Tro	Well, she looked yesternight fairer than ever I saw her look, or any woman else.
Troilus and Cressida	1	1	27	speech	verse	Troilus_Tro	I was about to tell thee: when my heart,
Troilus and Cressida	1	1	28	speech	verse	Troilus_Tro	As wedgèd with a sigh, would rive in twain,
Troilus and Cressida	1	1	29	speech	verse	Troilus_Tro	Lest Hector or my father should perceive me,
Troilus and Cressida	1	1	30	speech	verse	Troilus_Tro	I have, as when the sun doth light a-scorn,
Troilus and Cressida	1	1	31	speech	verse	Troilus_Tro	Buried this sigh in wrinkle of a smile;
Troilus and Cressida	1	1	32	speech	verse	Troilus_Tro	But sorrow that is couched in seeming gladness
Troilus and Cressida	1	1	33	speech	verse	Troilus_Tro	Is like that mirth fate turns to sudden sadness.
Troilus and Cressida	1	1	34	speech	prose	Pandarus_Tro	An her hair were not somewhat darker than Helen’s—well, go to—there were no more comparison between the women. But, for my part, she is my kinswoman; I would not, as they term it, praise her, but I would somebody had heard her talk yesterday, as I did. I will not dispraise your sister Cassandra’s wit, but—
Troilus and Cressida	1	1	35	speech	verse	Troilus_Tro	O, Pandarus! I tell thee, Pandarus:
Troilus and Cressida	1	1	36	speech	verse	Troilus_Tro	When I do tell thee there my hopes lie drowned,
Troilus and Cressida	1	1	37	speech	verse	Troilus_Tro	Reply not in how many fathoms deep
Troilus and Cressida	1	1	38	speech	verse	Troilus_Tro	They lie indrenched. I tell thee I am mad
Troilus and Cressida	1	1	39	speech	verse	Troilus_Tro	In Cressid’s love. Thou answer’st she is fair;
Troilus and Cressida	1	1	40	speech	verse	Troilus_Tro	Pourest in the open ulcer of my heart
Troilus and Cressida	1	1	41	speech	verse	Troilus_Tro	Her eyes, her hair, her cheek, her gait, her voice;
Troilus and Cressida	1	1	42	speech	verse	Troilus_Tro	Handiest in thy discourse—O—that her hand,
Troilus and Cressida	1	1	43	speech	verse	Troilus_Tro	In whose comparison all whites are ink
Troilus and Cressida	1	1	44	speech	verse	Troilus_Tro	Writing their own reproach, to whose soft seizure
Troilus and Cressida	1	1	45	speech	verse	Troilus_Tro	The cygnet’s down is harsh, and spirit of sense
Troilus and Cressida	1	1	46	speech	verse	Troilus_Tro	Hard as the palm of plowman. This thou tell’st me,
Troilus and Cressida	1	1	47	speech	verse	Troilus_Tro	As true thou tell’st me, when I say I love her.
Troilus and Cressida	1	1	48	speech	verse	Troilus_Tro	But, saying thus, instead of oil and balm
Troilus and Cressida	1	1	49	speech	verse	Troilus_Tro	Thou lay’st in every gash that love hath given me
Troilus and Cressida	1	1	50	speech	verse	Troilus_Tro	The knife that made it.
Troilus and Cressida	1	1	51	speech	prose	Pandarus_Tro	I speak no more than truth.
Troilus and Cressida	1	1	52	speech	prose	Troilus_Tro	Thou dost not speak so much.
Troilus and Cressida	1	1	53	speech	prose	Pandarus_Tro	Faith, I’ll not meddle in it. Let her be as she is. If she be fair, ’tis the better for her; an she be not, she has the mends in her own hands.
Troilus and Cressida	1	1	54	speech	prose	Troilus_Tro	Good Pandarus—how now, Pandarus?
Troilus and Cressida	1	1	55	speech	prose	Pandarus_Tro	I have had my labor for my travail, ill thought on of her, and ill thought on of you; gone between and between, but small thanks for my labor.
Troilus and Cressida	1	1	56	speech	prose	Troilus_Tro	What, art thou angry, Pandarus? What, with me?
Troilus and Cressida	1	1	57	speech	prose	Pandarus_Tro	Because she’s kin to me, therefore she’s not so fair as Helen; an she were not kin to me, she would be as fair o’ Friday as Helen is on Sunday. But what care I? I care not an she were a blackamoor; ’tis all one to me.
Troilus and Cressida	1	1	58	speech	prose	Troilus_Tro	Say I she is not fair?
Troilus and Cressida	1	1	59	speech	prose	Pandarus_Tro	I do not care whether you do or no. She’s a fool to stay behind her father. Let her to the Greeks, and so I’ll tell her the next time I see her. For my part, I’ll meddle nor make no more i’ th’ matter.
Troilus and Cressida	1	1	60	speech	prose	Troilus_Tro	Pandarus—
