title	act	scene	number	type	subtype	who	text
Twelfth Night	1	1	1	direction	entrance	Orsino_TN	Enter Orsino, Duke of Illyria, Curio, and other Lords,
Twelfth Night	1	1	1	direction	entrance	ATTENDANTS.ORSINO.Curio_TN	Enter Orsino, Duke of Illyria, Curio, and other Lords,
Twelfth Night	1	1	1	direction	entrance	ATTENDANTS.ORSINO_TN	Enter Orsino, Duke of Illyria, Curio, and other Lords,
Twelfth Night	1	1	1	direction	entrance	MUSICIANS_TN	Enter Orsino, Duke of Illyria, Curio, and other Lords,
Twelfth Night	1	1	2	direction	sound		with Musicians playing.
Twelfth Night	1	1	3	speech	verse	Orsino_TN	If music be the food of love, play on.
Twelfth Night	1	1	4	speech	verse	Orsino_TN	Give me excess of it, that, surfeiting,
Twelfth Night	1	1	5	speech	verse	Orsino_TN	The appetite may sicken and so die.
Twelfth Night	1	1	6	speech	verse	Orsino_TN	That strain again! It had a dying fall.
Twelfth Night	1	1	7	speech	verse	Orsino_TN	O, it came o’er my ear like the sweet sound
Twelfth Night	1	1	8	speech	verse	Orsino_TN	That breathes upon a bank of violets,
Twelfth Night	1	1	9	speech	verse	Orsino_TN	Stealing and giving odor. Enough; no more.
Twelfth Night	1	1	10	speech	verse	Orsino_TN	’Tis not so sweet now as it was before.
Twelfth Night	1	1	11	speech	verse	Orsino_TN	O spirit of love, how quick and fresh art thou,
Twelfth Night	1	1	12	speech	verse	Orsino_TN	That, notwithstanding thy capacity
Twelfth Night	1	1	13	speech	verse	Orsino_TN	Receiveth as the sea, naught enters there,
Twelfth Night	1	1	14	speech	verse	Orsino_TN	Of what validity and pitch soe’er,
Twelfth Night	1	1	15	speech	verse	Orsino_TN	But falls into abatement and low price
Twelfth Night	1	1	16	speech	verse	Orsino_TN	Even in a minute. So full of shapes is fancy
Twelfth Night	1	1	17	speech	verse	Orsino_TN	That it alone is high fantastical.
Twelfth Night	1	1	18	speech	verse	ATTENDANTS.ORSINO.Curio_TN	Will you go hunt, my lord?
Twelfth Night	1	1	19	speech	verse	Orsino_TN	What, Curio?
Twelfth Night	1	1	20	speech	verse	ATTENDANTS.ORSINO.Curio_TN	The hart.
Twelfth Night	1	1	21	speech	verse	Orsino_TN	Why, so I do, the noblest that I have.
Twelfth Night	1	1	22	speech	verse	Orsino_TN	O, when mine eyes did see Olivia first,
Twelfth Night	1	1	23	speech	verse	Orsino_TN	Methought she purged the air of pestilence.
Twelfth Night	1	1	24	speech	verse	Orsino_TN	That instant was I turned into a hart,
Twelfth Night	1	1	25	speech	verse	Orsino_TN	And my desires, like fell and cruel hounds,
Twelfth Night	1	1	26	speech	verse	Orsino_TN	E’er since pursue me.
Twelfth Night	1	1	27	direction	entrance	ATTENDANTS.ORSINO.Valentine_TN	Enter Valentine.
Twelfth Night	1	1	28	speech	verse	Orsino_TN	How now, what news from her?
Twelfth Night	1	1	29	speech	verse	ATTENDANTS.ORSINO.Valentine_TN	So please my lord, I might not be admitted,
