title	act	scene	number	type	subtype	who	text
Antony and Cleopatra	1	1	1	direction	entrance	Demetrius_Ant	Enter Demetrius and Philo.
Antony and Cleopatra	1	1	1	direction	entrance	Philo_Ant	Enter Demetrius and Philo.
Antony and Cleopatra	1	1	2	speech	verse	Philo_Ant	Nay, but this dotage of our general’s
Antony and Cleopatra	1	1	3	speech	verse	Philo_Ant	O’erflows the measure. Those his goodly eyes,
Antony and Cleopatra	1	1	4	speech	verse	Philo_Ant	That o’er the files and musters of the war
Antony and Cleopatra	1	1	5	speech	verse	Philo_Ant	Have glowed like plated Mars, now bend, now turn
Antony and Cleopatra	1	1	6	speech	verse	Philo_Ant	The office and devotion of their view
Antony and Cleopatra	1	1	7	speech	verse	Philo_Ant	Upon a tawny front. His captain’s heart,
Antony and Cleopatra	1	1	8	speech	verse	Philo_Ant	Which in the scuffles of great fights hath burst
Antony and Cleopatra	1	1	9	speech	verse	Philo_Ant	The buckles on his breast, reneges all temper
Antony and Cleopatra	1	1	10	speech	verse	Philo_Ant	And is become the bellows and the fan
Antony and Cleopatra	1	1	11	speech	verse	Philo_Ant	To cool a gypsy’s lust.
Antony and Cleopatra	1	1	12	direction	entrance	Antony_JC	Enter Antony, Cleopatra, her Ladies, the Train,with Eunuchs fanning her.
Antony and Cleopatra	1	1	12	direction	entrance	Cleopatra_Ant	Enter Antony, Cleopatra, her Ladies, the Train,with Eunuchs fanning her.
Antony and Cleopatra	1	1	12	direction	entrance	Charmian_Ant	Enter Antony, Cleopatra, her Ladies, the Train,with Eunuchs fanning her.
Antony and Cleopatra	1	1	12	direction	entrance	Iras_Ant	Enter Antony, Cleopatra, her Ladies, the Train,with Eunuchs fanning her.
Antony and Cleopatra	1	1	12	direction	entrance	Alexas_Ant	Enter Antony, Cleopatra, her Ladies, the Train,with Eunuchs fanning her.
Antony and Cleopatra	1	1	12	direction	entrance	Mardian_Ant	Enter Antony, Cleopatra, her Ladies, the Train,with Eunuchs fanning her.
Antony and Cleopatra	1	1	12	direction	entrance	EUNUCHS_Ant	Enter Antony, Cleopatra, her Ladies, the Train,with Eunuchs fanning her.
Antony and Cleopatra	1	1	13	direction	sound	Philo_Ant	Flourish.
Antony and Cleopatra	1	1	14	speech	verse	Philo_Ant	Look where they come.
Antony and Cleopatra	1	1	15	speech	verse	Philo_Ant	Take but good note, and you shall see in him
Antony and Cleopatra	1	1	16	speech	verse	Philo_Ant	The triple pillar of the world transformed
Antony and Cleopatra	1	1	17	speech	verse	Philo_Ant	Into a strumpet’s fool. Behold and see.
Antony and Cleopatra	1	1	18	speech	verse	Cleopatra_Ant	If it be love indeed, tell me how much.
Antony and Cleopatra	1	1	19	speech	verse	Antony_JC	There’s beggary in the love that can be reckoned.
Antony and Cleopatra	1	1	20	speech	verse	Cleopatra_Ant	I’ll set a bourn how far to be beloved.
Antony and Cleopatra	1	1	21	speech	verse	Antony_JC	Then must thou needs find out new heaven, new Earth.
