title	act	scene	number	type	subtype	who	text
As You Like It	1	1	1	direction	entrance	Orlando_AYL	Enter Orlando and Adam.
As You Like It	1	1	1	direction	entrance	Adam_AYL	Enter Orlando and Adam.
As You Like It	1	1	2	speech	prose	Orlando_AYL	As I remember, Adam, it was upon this fashion bequeathed me by will but poor a thousand crowns, and, as thou sayst, charged my brother on his blessing to breed me well. And there begins my sadness. My brother Jaques he keeps at school, and report speaks goldenly of his profit. For my part, he keeps me rustically at home, or, to speak more properly, stays me here at home unkept; for call you that “keeping,” for a gentleman of my birth, that differs not from the stalling of an ox? His horses are bred better, for, besides that they are fair with their feeding, they are taught their manage and, to that end, riders dearly hired. But I, his brother, gain nothing under him but growth, for the which his animals on his dunghills are as much bound to him as I. Besides this nothing that he so plentifully gives me, the something that nature gave me his countenance seems to take from me. He lets me feed with his hinds, bars me the place of a brother, and, as much as in him lies, mines my gentility with my education. This is it, Adam, that grieves me, and the spirit of my father, which I think is within me, begins to mutiny against this servitude. I will no longer endure it, though yet I know no wise remedy how to avoid it.
As You Like It	1	1	3	direction	entrance	Oliver_AYL	Enter Oliver.
As You Like It	1	1	4	speech	prose	Adam_AYL	Yonder comes my master, your brother.
As You Like It	1	1	5	speech	prose	Orlando_AYL	Go apart, Adam, and thou shalt hear how he will shake me up.
As You Like It	1	1	6	direction	business	Adam_AYL	Adam steps aside.
As You Like It	1	1	7	speech	prose	Oliver_AYL	Now, sir, what make you here?
As You Like It	1	1	8	speech	prose	Orlando_AYL	Nothing. I am not taught to make anything.
As You Like It	1	1	9	speech	prose	Oliver_AYL	What mar you then, sir?
As You Like It	1	1	10	speech	prose	Orlando_AYL	Marry, sir, I am helping you to mar that which God made, a poor unworthy brother of yours, with idleness.
As You Like It	1	1	11	speech	prose	Oliver_AYL	Marry, sir, be better employed, and be naught awhile.
As You Like It	1	1	12	speech	prose	Orlando_AYL	Shall I keep your hogs and eat husks with them? What prodigal portion have I spent that I should come to such penury?
As You Like It	1	1	13	speech	prose	Oliver_AYL	Know you where you are, sir?
As You Like It	1	1	14	speech	prose	Orlando_AYL	O, sir, very well: here in your orchard.
As You Like It	1	1	15	speech	prose	Oliver_AYL	Know you before whom, sir?
As You Like It	1	1	16	speech	prose	Orlando_AYL	Ay, better than him I am before knows me. I know you are my eldest brother, and in the gentle condition of blood you should so know me. The courtesy of nations allows you my better in that you are the first-born, but the same tradition takes not away my blood, were there twenty brothers betwixt us. I have as much of my father in me as you, albeit I confess your coming before me is nearer to his reverence.
As You Like It	1	1	17	direction	delivery	Oliver_AYL	, threatening Orlando
As You Like It	1	1	18	speech	prose	Oliver_AYL	What, boy!
As You Like It	1	1	19	direction	business	Orlando_AYL	, holding off Oliver by the throat
As You Like It	1	1	19	direction	business	Oliver_AYL	, holding off Oliver by the throat
As You Like It	1	1	20	speech	prose	Orlando_AYL	Come, come, elder brother, you are too young in this.
As You Like It	1	1	21	speech	prose	Oliver_AYL	Wilt thou lay hands on me, villain?
As You Like It	1	1	22	speech	prose	Orlando_AYL	I am no villain. I am the youngest son of Sir Rowland de Boys. He was my father, and he is thrice a villain that says such a father begot villains. Wert thou not my brother, I would not take this hand from thy throat till this other had pulled out thy tongue for saying so. Thou hast railed on thyself.
As You Like It	1	1	23	direction	business	Adam_AYL	, coming forward
As You Like It	1	1	24	speech	prose	Adam_AYL	Sweet masters, be patient. For your father’s remembrance, be at accord.
As You Like It	1	1	25	direction	delivery	Oliver_AYL	, to Orlando
As You Like It	1	1	26	speech	prose	Oliver_AYL	Let me go, I say.
