title	act	scene	number	type	subtype	who	text
Henry IV, Part II	1	1	1	direction	entrance	LordBardolph_2H4	Enter the Lord Bardolph at one door.
Henry IV, Part II	1	1	2	speech	verse	LordBardolph_2H4	Who keeps the gate here, ho?
Henry IV, Part II	1	1	3	direction	entrance	Porter_2H4	Enter the Porter.
Henry IV, Part II	1	1	4	speech	verse	LordBardolph_2H4	Where is the Earl?
Henry IV, Part II	1	1	5	speech	verse	Porter_2H4	What shall I say you are?
Henry IV, Part II	1	1	6	speech	verse	LordBardolph_2H4	Tell thou the Earl
Henry IV, Part II	1	1	7	speech	verse	LordBardolph_2H4	That the Lord Bardolph doth attend him here.
Henry IV, Part II	1	1	8	speech	verse	Porter_2H4	His Lordship is walked forth into the orchard.
Henry IV, Part II	1	1	9	speech	verse	Porter_2H4	Please it your Honor knock but at the gate
Henry IV, Part II	1	1	10	speech	verse	Porter_2H4	And he himself will answer.
Henry IV, Part II	1	1	11	direction	entrance	Northumberland_R2	Enter the Earl Northumberland, his head wrapped in a kerchief and supporting himself with a crutch.
Henry IV, Part II	1	1	12	speech	verse	LordBardolph_2H4	Here comes the Earl.
Henry IV, Part II	1	1	13	direction	exit	Porter_2H4	Porter exits.
Henry IV, Part II	1	1	14	speech	verse	Northumberland_R2	What news, Lord Bardolph? Every minute now
Henry IV, Part II	1	1	15	speech	verse	Northumberland_R2	Should be the father of some stratagem.
Henry IV, Part II	1	1	16	speech	verse	Northumberland_R2	The times are wild. Contention, like a horse
Henry IV, Part II	1	1	17	speech	verse	Northumberland_R2	Full of high feeding, madly hath broke loose
Henry IV, Part II	1	1	18	speech	verse	Northumberland_R2	And bears down all before him.
Henry IV, Part II	1	1	19	speech	verse	LordBardolph_2H4	Noble earl,
Henry IV, Part II	1	1	20	speech	verse	LordBardolph_2H4	I bring you certain news from Shrewsbury.
Henry IV, Part II	1	1	21	speech	verse	Northumberland_R2	Good, an God will!
Henry IV, Part II	1	1	22	speech	verse	LordBardolph_2H4	As good as heart can wish.
Henry IV, Part II	1	1	23	speech	verse	LordBardolph_2H4	The King is almost wounded to the death,
Henry IV, Part II	1	1	24	speech	verse	LordBardolph_2H4	And, in the fortune of my lord your son,
Henry IV, Part II	1	1	25	speech	verse	LordBardolph_2H4	Prince Harry slain outright; and both the Blunts
Henry IV, Part II	1	1	26	speech	verse	LordBardolph_2H4	Killed by the hand of Douglas; young Prince John
Henry IV, Part II	1	1	27	speech	verse	LordBardolph_2H4	And Westmoreland and Stafford fled the field;
Henry IV, Part II	1	1	28	speech	verse	LordBardolph_2H4	And Harry Monmouth’s brawn, the hulk Sir John,
Henry IV, Part II	1	1	29	speech	verse	LordBardolph_2H4	Is prisoner to your son. O, such a day,
Henry IV, Part II	1	1	30	speech	verse	LordBardolph_2H4	So fought, so followed, and so fairly won,
Henry IV, Part II	1	1	31	speech	verse	LordBardolph_2H4	Came not till now to dignify the times
Henry IV, Part II	1	1	32	speech	verse	LordBardolph_2H4	Since Caesar’s fortunes.
Henry IV, Part II	1	1	33	speech	verse	Northumberland_R2	How is this derived?
Henry IV, Part II	1	1	34	speech	verse	Northumberland_R2	Saw you the field? Came you from Shrewsbury?
Henry IV, Part II	1	1	35	speech	verse	LordBardolph_2H4	I spake with one, my lord, that came from thence,
Henry IV, Part II	1	1	36	speech	verse	LordBardolph_2H4	A gentleman well bred and of good name,
Henry IV, Part II	1	1	37	speech	verse	LordBardolph_2H4	That freely rendered me these news for true.
Henry IV, Part II	1	1	38	direction	entrance	Travers_2H4	Enter Travers.
Henry IV, Part II	1	1	39	speech	verse	Northumberland_R2	Here comes my servant Travers, who I sent
Henry IV, Part II	1	1	40	speech	verse	Northumberland_R2	On Tuesday last to listen after news.
Henry IV, Part II	1	1	41	speech	verse	LordBardolph_2H4	My lord, I overrode him on the way,
Henry IV, Part II	1	1	42	speech	verse	LordBardolph_2H4	And he is furnished with no certainties
Henry IV, Part II	1	1	43	speech	verse	LordBardolph_2H4	More than he haply may retail from me.
Henry IV, Part II	1	1	44	speech	verse	Northumberland_R2	Now, Travers, what good tidings comes with you?
Henry IV, Part II	1	1	45	speech	verse	Travers_2H4	My lord, Sir John Umfrevile turned me back
Henry IV, Part II	1	1	46	speech	verse	Travers_2H4	With joyful tidings and, being better horsed,
Henry IV, Part II	1	1	47	speech	verse	Travers_2H4	Outrode me. After him came spurring hard
Henry IV, Part II	1	1	48	speech	verse	Travers_2H4	A gentleman, almost forspent with speed,
Henry IV, Part II	1	1	49	speech	verse	Travers_2H4	That stopped by me to breathe his bloodied horse.
Henry IV, Part II	1	1	50	speech	verse	Travers_2H4	He asked the way to Chester, and of him
Henry IV, Part II	1	1	51	speech	verse	Travers_2H4	I did demand what news from Shrewsbury.
Henry IV, Part II	1	1	52	speech	verse	Travers_2H4	He told me that rebellion had bad luck
Henry IV, Part II	1	1	53	speech	verse	Travers_2H4	And that young Harry Percy’s spur was cold.
Henry IV, Part II	1	1	54	speech	verse	Travers_2H4	With that he gave his able horse the head
Henry IV, Part II	1	1	55	speech	verse	Travers_2H4	And, bending forward, struck his armèd heels
Henry IV, Part II	1	1	56	speech	verse	Travers_2H4	Against the panting sides of his poor jade
Henry IV, Part II	1	1	57	speech	verse	Travers_2H4	Up to the rowel-head, and starting so
Henry IV, Part II	1	1	58	speech	verse	Travers_2H4	He seemed in running to devour the way,
Henry IV, Part II	1	1	59	speech	verse	Travers_2H4	Staying no longer question.
Henry IV, Part II	1	1	60	speech	verse	Northumberland_R2	Ha? Again:
Henry IV, Part II	1	1	61	speech	verse	Northumberland_R2	Said he young Harry Percy’s spur was cold?
Henry IV, Part II	1	1	62	speech	verse	Northumberland_R2	Of Hotspur, Coldspur? That rebellion
Henry IV, Part II	1	1	63	speech	verse	Northumberland_R2	Had met ill luck?
Henry IV, Part II	1	1	64	speech	verse	LordBardolph_2H4	My lord, I’ll tell you what:
Henry IV, Part II	1	1	65	speech	verse	LordBardolph_2H4	If my young lord your son have not the day,
Henry IV, Part II	1	1	66	speech	verse	LordBardolph_2H4	Upon mine honor, for a silken point
Henry IV, Part II	1	1	67	speech	verse	LordBardolph_2H4	I’ll give my barony. Never talk of it.
Henry IV, Part II	1	1	68	speech	verse	Northumberland_R2	Why should that gentleman that rode by Travers
Henry IV, Part II	1	1	69	speech	verse	Northumberland_R2	Give then such instances of loss?
Henry IV, Part II	1	1	70	speech	verse	LordBardolph_2H4	Who, he?
Henry IV, Part II	1	1	71	speech	verse	LordBardolph_2H4	He was some hilding fellow that had stol’n
Henry IV, Part II	1	1	72	speech	verse	LordBardolph_2H4	The horse he rode on and, upon my life,
Henry IV, Part II	1	1	73	speech	verse	LordBardolph_2H4	Spoke at a venture.
Henry IV, Part II	1	1	74	direction	entrance	Morton_2H4	Enter Morton.
Henry IV, Part II	1	1	75	speech	verse	LordBardolph_2H4	Look, here comes more news.
Henry IV, Part II	1	1	76	speech	verse	Northumberland_R2	Yea, this man’s brow, like to a title leaf,
Henry IV, Part II	1	1	77	speech	verse	Northumberland_R2	Foretells the nature of a tragic volume.
Henry IV, Part II	1	1	78	speech	verse	Northumberland_R2	So looks the strand whereon the imperious flood
Henry IV, Part II	1	1	79	speech	verse	Northumberland_R2	Hath left a witnessed usurpation.—
Henry IV, Part II	1	1	80	speech	verse	Northumberland_R2	Say, Morton, didst thou come from Shrewsbury?
Henry IV, Part II	1	1	81	speech	verse	Morton_2H4	I ran from Shrewsbury, my noble lord,
Henry IV, Part II	1	1	82	speech	verse	Morton_2H4	Where hateful death put on his ugliest mask
Henry IV, Part II	1	1	83	speech	verse	Morton_2H4	To fright our party.
Henry IV, Part II	1	1	84	speech	verse	Northumberland_R2	How doth my son and brother?
Henry IV, Part II	1	1	85	speech	verse	Northumberland_R2	Thou tremblest, and the whiteness in thy cheek
Henry IV, Part II	1	1	86	speech	verse	Northumberland_R2	Is apter than thy tongue to tell thy errand.
Henry IV, Part II	1	1	87	speech	verse	Northumberland_R2	Even such a man, so faint, so spiritless,
Henry IV, Part II	1	1	88	speech	verse	Northumberland_R2	So dull, so dead in look, so woebegone,
Henry IV, Part II	1	1	89	speech	verse	Northumberland_R2	Drew Priam’s curtain in the dead of night
Henry IV, Part II	1	1	90	speech	verse	Northumberland_R2	And would have told him half his Troy was burnt;
Henry IV, Part II	1	1	91	speech	verse	Northumberland_R2	But Priam found the fire ere he his tongue,
Henry IV, Part II	1	1	92	speech	verse	Northumberland_R2	And I my Percy’s death ere thou report’st it.
Henry IV, Part II	1	1	93	speech	verse	Northumberland_R2	This thou wouldst say: “Your son did thus and thus;
Henry IV, Part II	1	1	94	speech	verse	Northumberland_R2	Your brother thus; so fought the noble Douglas”—
Henry IV, Part II	1	1	95	speech	verse	Northumberland_R2	Stopping my greedy ear with their bold deeds.
Henry IV, Part II	1	1	96	speech	verse	Northumberland_R2	But in the end, to stop my ear indeed,
Henry IV, Part II	1	1	97	speech	verse	Northumberland_R2	Thou hast a sigh to blow away this praise,
Henry IV, Part II	1	1	98	speech	verse	Northumberland_R2	Ending with “Brother, son, and all are dead.”
Henry IV, Part II	1	1	99	speech	verse	Morton_2H4	Douglas is living, and your brother yet,
Henry IV, Part II	1	1	100	speech	verse	Morton_2H4	But for my lord your son—
Henry IV, Part II	1	1	101	speech	verse	Northumberland_R2	Why, he is dead.
Henry IV, Part II	1	1	102	speech	verse	Northumberland_R2	See what a ready tongue suspicion hath!
Henry IV, Part II	1	1	103	speech	verse	Northumberland_R2	He that but fears the thing he would not know
Henry IV, Part II	1	1	104	speech	verse	Northumberland_R2	Hath, by instinct, knowledge from others’ eyes
Henry IV, Part II	1	1	105	speech	verse	Northumberland_R2	That what he feared is chancèd. Yet speak, Morton.
Henry IV, Part II	1	1	106	speech	verse	Northumberland_R2	Tell thou an earl his divination lies,
Henry IV, Part II	1	1	107	speech	verse	Northumberland_R2	And I will take it as a sweet disgrace
Henry IV, Part II	1	1	108	speech	verse	Northumberland_R2	And make thee rich for doing me such wrong.
Henry IV, Part II	1	1	109	speech	verse	Morton_2H4	You are too great to be by me gainsaid,
Henry IV, Part II	1	1	110	speech	verse	Morton_2H4	Your spirit is too true, your fears too certain.
Henry IV, Part II	1	1	111	speech	verse	Northumberland_R2	Yet, for all this, say not that Percy’s dead.
Henry IV, Part II	1	1	112	speech	verse	Northumberland_R2	I see a strange confession in thine eye.
Henry IV, Part II	1	1	113	speech	verse	Northumberland_R2	Thou shak’st thy head and hold’st it fear or sin
Henry IV, Part II	1	1	114	speech	verse	Northumberland_R2	To speak a truth. If he be slain, say so.
Henry IV, Part II	1	1	115	speech	verse	Northumberland_R2	The tongue offends not that reports his death;
Henry IV, Part II	1	1	116	speech	verse	Northumberland_R2	And he doth sin that doth belie the dead,
Henry IV, Part II	1	1	117	speech	verse	Northumberland_R2	Not he which says the dead is not alive.
Henry IV, Part II	1	1	118	speech	verse	Northumberland_R2	Yet the first bringer of unwelcome news
Henry IV, Part II	1	1	119	speech	verse	Northumberland_R2	Hath but a losing office, and his tongue
Henry IV, Part II	1	1	120	speech	verse	Northumberland_R2	Sounds ever after as a sullen bell
Henry IV, Part II	1	1	121	speech	verse	Northumberland_R2	Remembered tolling a departing friend.
Henry IV, Part II	1	1	122	speech	verse	LordBardolph_2H4	I cannot think, my lord, your son is dead.
Henry IV, Part II	1	1	123	direction	delivery	Morton_2H4	, to Northumberland
Henry IV, Part II	1	1	124	speech	verse	Morton_2H4	I am sorry I should force you to believe
Henry IV, Part II	1	1	125	speech	verse	Morton_2H4	That which I would to God I had not seen,
Henry IV, Part II	1	1	126	speech	verse	Morton_2H4	But these mine eyes saw him in bloody state,
Henry IV, Part II	1	1	127	speech	verse	Morton_2H4	Rend’ring faint quittance, wearied and outbreathed,
Henry IV, Part II	1	1	128	speech	verse	Morton_2H4	To Harry Monmouth, whose swift wrath beat down
Henry IV, Part II	1	1	129	speech	verse	Morton_2H4	The never-daunted Percy to the earth,
Henry IV, Part II	1	1	130	speech	verse	Morton_2H4	From whence with life he never more sprung up.
Henry IV, Part II	1	1	131	speech	verse	Morton_2H4	In few, his death, whose spirit lent a fire
Henry IV, Part II	1	1	132	speech	verse	Morton_2H4	Even to the dullest peasant in his camp,
Henry IV, Part II	1	1	133	speech	verse	Morton_2H4	Being bruited once, took fire and heat away
Henry IV, Part II	1	1	134	speech	verse	Morton_2H4	From the best-tempered courage in his troops;
Henry IV, Part II	1	1	135	speech	verse	Morton_2H4	For from his mettle was his party steeled,
Henry IV, Part II	1	1	136	speech	verse	Morton_2H4	Which, once in him abated, all the rest
Henry IV, Part II	1	1	137	speech	verse	Morton_2H4	Turned on themselves, like dull and heavy lead.
Henry IV, Part II	1	1	138	speech	verse	Morton_2H4	And as the thing that’s heavy in itself
Henry IV, Part II	1	1	139	speech	verse	Morton_2H4	Upon enforcement flies with greatest speed,
Henry IV, Part II	1	1	140	speech	verse	Morton_2H4	So did our men, heavy in Hotspur’s loss,
Henry IV, Part II	1	1	141	speech	verse	Morton_2H4	Lend to this weight such lightness with their fear
Henry IV, Part II	1	1	142	speech	verse	Morton_2H4	That arrows fled not swifter toward their aim
Henry IV, Part II	1	1	143	speech	verse	Morton_2H4	Than did our soldiers, aiming at their safety,
Henry IV, Part II	1	1	144	speech	verse	Morton_2H4	Fly from the field. Then was that noble Worcester
Henry IV, Part II	1	1	145	speech	verse	Morton_2H4	So soon ta’en prisoner; and that furious Scot,
