title	act	scene	number	type	subtype	who	text
Henry VI, Part 3	1	1	1	direction	entrance	York_1H6	Enter Richard Plantagenet, Duke of York;Edward; Richard; Norfolk; Montague; Warwick; and Soldiers, all wearing the white rose.
Henry VI, Part 3	1	1	1	direction	entrance	EdwardIV_3H6	Enter Richard Plantagenet, Duke of York;Edward; Richard; Norfolk; Montague; Warwick; and Soldiers, all wearing the white rose.
Henry VI, Part 3	1	1	1	direction	entrance	RichardIII_R3	Enter Richard Plantagenet, Duke of York;Edward; Richard; Norfolk; Montague; Warwick; and Soldiers, all wearing the white rose.
Henry VI, Part 3	1	1	1	direction	entrance	Norfolk_3H6	Enter Richard Plantagenet, Duke of York;Edward; Richard; Norfolk; Montague; Warwick; and Soldiers, all wearing the white rose.
Henry VI, Part 3	1	1	1	direction	entrance	Montague_3H6	Enter Richard Plantagenet, Duke of York;Edward; Richard; Norfolk; Montague; Warwick; and Soldiers, all wearing the white rose.
Henry VI, Part 3	1	1	1	direction	entrance	Warwick_2H6	Enter Richard Plantagenet, Duke of York;Edward; Richard; Norfolk; Montague; Warwick; and Soldiers, all wearing the white rose.
Henry VI, Part 3	1	1	1	direction	entrance	SOLDIERS.YORK_3H6	Enter Richard Plantagenet, Duke of York;Edward; Richard; Norfolk; Montague; Warwick; and Soldiers, all wearing the white rose.
Henry VI, Part 3	1	1	2	direction	sound		Alarum.
Henry VI, Part 3	1	1	3	speech	verse	Warwick_2H6	I wonder how the King escaped our hands.
Henry VI, Part 3	1	1	4	speech	verse	York_1H6	While we pursued the horsemen of the north,
Henry VI, Part 3	1	1	5	speech	verse	York_1H6	He slyly stole away and left his men;
Henry VI, Part 3	1	1	6	speech	verse	York_1H6	Whereat the great lord of Northumberland,
Henry VI, Part 3	1	1	7	speech	verse	York_1H6	Whose warlike ears could never brook retreat,
Henry VI, Part 3	1	1	8	speech	verse	York_1H6	Cheered up the drooping army; and himself,
Henry VI, Part 3	1	1	9	speech	verse	York_1H6	Lord Clifford, and Lord Stafford, all abreast,
Henry VI, Part 3	1	1	10	speech	verse	York_1H6	Charged our main battle’s front and, breaking in,
