title	act	scene	number	type	subtype	who	text
Henry VIII	1	1	1	direction	entrance	Norfolk_H8	Enter the Duke of Norfolk at one door; at the other, the Duke of Buckingham and the Lord Abergavenny.
Henry VIII	1	1	1	direction	entrance	Buckingham_H8	Enter the Duke of Norfolk at one door; at the other, the Duke of Buckingham and the Lord Abergavenny.
Henry VIII	1	1	1	direction	entrance	Abergavenny_H8	Enter the Duke of Norfolk at one door; at the other, the Duke of Buckingham and the Lord Abergavenny.
Henry VIII	1	1	2	speech	verse	Buckingham_H8	Good morrow, and well met. How have you done
Henry VIII	1	1	3	speech	verse	Buckingham_H8	Since last we saw in France?
Henry VIII	1	1	4	speech	verse	Norfolk_H8	I thank your Grace,
Henry VIII	1	1	5	speech	verse	Norfolk_H8	Healthful, and ever since a fresh admirer
Henry VIII	1	1	6	speech	verse	Norfolk_H8	Of what I saw there.
Henry VIII	1	1	7	speech	verse	Buckingham_H8	An untimely ague
Henry VIII	1	1	8	speech	verse	Buckingham_H8	Stayed me a prisoner in my chamber when
Henry VIII	1	1	9	speech	verse	Buckingham_H8	Those suns of glory, those two lights of men,
Henry VIII	1	1	10	speech	verse	Buckingham_H8	Met in the vale of Andren.
Henry VIII	1	1	11	speech	verse	Norfolk_H8	’Twixt Guynes and Arde.
Henry VIII	1	1	12	speech	verse	Norfolk_H8	I was then present, saw them salute on horseback,
Henry VIII	1	1	13	speech	verse	Norfolk_H8	Beheld them when they lighted, how they clung
Henry VIII	1	1	14	speech	verse	Norfolk_H8	In their embracement, as they grew together—
Henry VIII	1	1	15	speech	verse	Norfolk_H8	Which had they, what four throned ones could have weighed
Henry VIII	1	1	16	speech	verse	Norfolk_H8	Such a compounded one?
Henry VIII	1	1	17	speech	verse	Buckingham_H8	All the whole time
Henry VIII	1	1	18	speech	verse	Buckingham_H8	I was my chamber’s prisoner.
Henry VIII	1	1	19	speech	verse	Norfolk_H8	Then you lost
Henry VIII	1	1	20	speech	verse	Norfolk_H8	The view of earthly glory. Men might say
Henry VIII	1	1	21	speech	verse	Norfolk_H8	Till this time pomp was single, but now married
Henry VIII	1	1	22	speech	verse	Norfolk_H8	To one above itself. Each following day
Henry VIII	1	1	23	speech	verse	Norfolk_H8	Became the next day’s master, till the last
Henry VIII	1	1	24	speech	verse	Norfolk_H8	Made former wonders its. Today the French,
Henry VIII	1	1	25	speech	verse	Norfolk_H8	All clinquant, all in gold, like heathen gods,
Henry VIII	1	1	26	speech	verse	Norfolk_H8	Shone down the English, and tomorrow they
Henry VIII	1	1	27	speech	verse	Norfolk_H8	Made Britain India: every man that stood
Henry VIII	1	1	28	speech	verse	Norfolk_H8	Showed like a mine. Their dwarfish pages were
Henry VIII	1	1	29	speech	verse	Norfolk_H8	As cherubins, all gilt. The madams too,
Henry VIII	1	1	30	speech	verse	Norfolk_H8	Not used to toil, did almost sweat to bear
Henry VIII	1	1	31	speech	verse	Norfolk_H8	The pride upon them, that their very labor
Henry VIII	1	1	32	speech	verse	Norfolk_H8	Was to them as a painting. Now this masque
Henry VIII	1	1	33	speech	verse	Norfolk_H8	Was cried incomparable; and th’ ensuing night
Henry VIII	1	1	34	speech	verse	Norfolk_H8	Made it a fool and beggar. The two kings,
Henry VIII	1	1	35	speech	verse	Norfolk_H8	Equal in luster, were now best, now worst,
Henry VIII	1	1	36	speech	verse	Norfolk_H8	As presence did present them: him in eye
Henry VIII	1	1	37	speech	verse	Norfolk_H8	Still him in praise; and being present both,
Henry VIII	1	1	38	speech	verse	Norfolk_H8	’Twas said they saw but one, and no discerner
Henry VIII	1	1	39	speech	verse	Norfolk_H8	Durst wag his tongue in censure. When these suns—
Henry VIII	1	1	40	speech	verse	Norfolk_H8	For so they phrase ’em—by their heralds challenged
Henry VIII	1	1	41	speech	verse	Norfolk_H8	The noble spirits to arms, they did perform
Henry VIII	1	1	42	speech	verse	Norfolk_H8	Beyond thought’s compass, that former fabulous story,
Henry VIII	1	1	43	speech	verse	Norfolk_H8	Being now seen possible enough, got credit
Henry VIII	1	1	44	speech	verse	Norfolk_H8	That Bevis was believed.
Henry VIII	1	1	45	speech	verse	Buckingham_H8	O, you go far.
Henry VIII	1	1	46	speech	verse	Norfolk_H8	As I belong to worship, and affect
Henry VIII	1	1	47	speech	verse	Norfolk_H8	In honor honesty, the tract of everything
Henry VIII	1	1	48	speech	verse	Norfolk_H8	Would by a good discourser lose some life
Henry VIII	1	1	49	speech	verse	Norfolk_H8	Which action’s self was tongue to. All was royal;
Henry VIII	1	1	50	speech	verse	Norfolk_H8	To the disposing of it naught rebelled.
Henry VIII	1	1	51	speech	verse	Norfolk_H8	Order gave each thing view. The office did
Henry VIII	1	1	52	speech	verse	Norfolk_H8	Distinctly his full function.
Henry VIII	1	1	53	speech	verse	Buckingham_H8	Who did guide,
Henry VIII	1	1	54	speech	verse	Buckingham_H8	I mean who set the body and the limbs
Henry VIII	1	1	55	speech	verse	Buckingham_H8	Of this great sport together, as you guess?
Henry VIII	1	1	56	speech	verse	Norfolk_H8	One, certes, that promises no element
Henry VIII	1	1	57	speech	verse	Norfolk_H8	In such a business.
Henry VIII	1	1	58	speech	verse	Buckingham_H8	I pray you who, my lord?
Henry VIII	1	1	59	speech	verse	Norfolk_H8	All this was ordered by the good discretion
Henry VIII	1	1	60	speech	verse	Norfolk_H8	Of the right reverend Cardinal of York.
Henry VIII	1	1	61	speech	verse	Buckingham_H8	The devil speed him! No man’s pie is freed
Henry VIII	1	1	62	speech	verse	Buckingham_H8	From his ambitious finger. What had he
Henry VIII	1	1	63	speech	verse	Buckingham_H8	To do in these fierce vanities? I wonder
Henry VIII	1	1	64	speech	verse	Buckingham_H8	That such a keech can with his very bulk
Henry VIII	1	1	65	speech	verse	Buckingham_H8	Take up the rays o’ th’ beneficial sun
Henry VIII	1	1	66	speech	verse	Buckingham_H8	And keep it from the Earth.
Henry VIII	1	1	67	speech	verse	Norfolk_H8	Surely, sir,
Henry VIII	1	1	68	speech	verse	Norfolk_H8	There’s in him stuff that puts him to these ends;
Henry VIII	1	1	69	speech	verse	Norfolk_H8	For, being not propped by ancestry, whose grace
Henry VIII	1	1	70	speech	verse	Norfolk_H8	Chalks successors their way, nor called upon
Henry VIII	1	1	71	speech	verse	Norfolk_H8	For high feats done to th’ crown, neither allied
Henry VIII	1	1	72	speech	verse	Norfolk_H8	To eminent assistants, but spiderlike,
Henry VIII	1	1	73	speech	verse	Norfolk_H8	Out of his self-drawing web, he gives us note
Henry VIII	1	1	74	speech	verse	Norfolk_H8	The force of his own merit makes his way—
Henry VIII	1	1	75	speech	verse	Norfolk_H8	A gift that heaven gives for him which buys
Henry VIII	1	1	76	speech	verse	Norfolk_H8	A place next to the King.
Henry VIII	1	1	77	speech	verse	Abergavenny_H8	I cannot tell
Henry VIII	1	1	78	speech	verse	Abergavenny_H8	What heaven hath given him—let some graver eye
Henry VIII	1	1	79	speech	verse	Abergavenny_H8	Pierce into that—but I can see his pride
Henry VIII	1	1	80	speech	verse	Abergavenny_H8	Peep through each part of him. Whence has he that?
Henry VIII	1	1	81	speech	verse	Abergavenny_H8	If not from hell, the devil is a niggard,
Henry VIII	1	1	82	speech	verse	Abergavenny_H8	Or has given all before, and he begins
Henry VIII	1	1	83	speech	verse	Abergavenny_H8	A new hell in himself.
Henry VIII	1	1	84	speech	verse	Buckingham_H8	Why the devil,
Henry VIII	1	1	85	speech	verse	Buckingham_H8	Upon this French going-out, took he upon him,
Henry VIII	1	1	86	speech	verse	Buckingham_H8	Without the privity o’ th’ King, t’ appoint
Henry VIII	1	1	87	speech	verse	Buckingham_H8	Who should attend on him? He makes up the file
Henry VIII	1	1	88	speech	verse	Buckingham_H8	Of all the gentry, for the most part such
Henry VIII	1	1	89	speech	verse	Buckingham_H8	To whom as great a charge as little honor
Henry VIII	1	1	90	speech	verse	Buckingham_H8	He meant to lay upon; and his own letter,
Henry VIII	1	1	91	speech	verse	Buckingham_H8	The honorable board of council out,
Henry VIII	1	1	92	speech	verse	Buckingham_H8	Must fetch him in he papers.
Henry VIII	1	1	93	speech	verse	Abergavenny_H8	I do know
Henry VIII	1	1	94	speech	verse	Abergavenny_H8	Kinsmen of mine, three at the least, that have
Henry VIII	1	1	95	speech	verse	Abergavenny_H8	By this so sickened their estates that never
Henry VIII	1	1	96	speech	verse	Abergavenny_H8	They shall abound as formerly.
Henry VIII	1	1	97	speech	verse	Buckingham_H8	O, many
Henry VIII	1	1	98	speech	verse	Buckingham_H8	Have broke their backs with laying manors on ’em
Henry VIII	1	1	99	speech	verse	Buckingham_H8	For this great journey. What did this vanity
Henry VIII	1	1	100	speech	verse	Buckingham_H8	But minister communication of
Henry VIII	1	1	101	speech	verse	Buckingham_H8	A most poor issue?
Henry VIII	1	1	102	speech	verse	Norfolk_H8	Grievingly I think
Henry VIII	1	1	103	speech	verse	Norfolk_H8	The peace between the French and us not values
Henry VIII	1	1	104	speech	verse	Norfolk_H8	The cost that did conclude it.
Henry VIII	1	1	105	speech	verse	Buckingham_H8	Every man,
Henry VIII	1	1	106	speech	verse	Buckingham_H8	After the hideous storm that followed, was
Henry VIII	1	1	107	speech	verse	Buckingham_H8	A thing inspired and, not consulting, broke
Henry VIII	1	1	108	speech	verse	Buckingham_H8	Into a general prophecy: that this tempest,
Henry VIII	1	1	109	speech	verse	Buckingham_H8	Dashing the garment of this peace, aboded
Henry VIII	1	1	110	speech	verse	Buckingham_H8	The sudden breach on ’t.
Henry VIII	1	1	111	speech	verse	Norfolk_H8	Which is budded out,
Henry VIII	1	1	112	speech	verse	Norfolk_H8	For France hath flawed the league and hath attached
Henry VIII	1	1	113	speech	verse	Norfolk_H8	Our merchants’ goods at Bordeaux.
Henry VIII	1	1	114	speech	verse	Abergavenny_H8	Is it therefore
Henry VIII	1	1	115	speech	verse	Abergavenny_H8	Th’ ambassador is silenced?
Henry VIII	1	1	116	speech	verse	Norfolk_H8	Marry, is ’t.
Henry VIII	1	1	117	speech	verse	Abergavenny_H8	A proper title of a peace, and purchased
Henry VIII	1	1	118	speech	verse	Abergavenny_H8	At a superfluous rate!
Henry VIII	1	1	119	speech	verse	Buckingham_H8	Why, all this business
Henry VIII	1	1	120	speech	verse	Buckingham_H8	Our reverend cardinal carried.
Henry VIII	1	1	121	speech	verse	Norfolk_H8	Like it your Grace,
Henry VIII	1	1	122	speech	verse	Norfolk_H8	The state takes notice of the private difference
Henry VIII	1	1	123	speech	verse	Norfolk_H8	Betwixt you and the Cardinal. I advise you—
Henry VIII	1	1	124	speech	verse	Norfolk_H8	And take it from a heart that wishes towards you
Henry VIII	1	1	125	speech	verse	Norfolk_H8	Honor and plenteous safety—that you read
Henry VIII	1	1	126	speech	verse	Norfolk_H8	The Cardinal’s malice and his potency
Henry VIII	1	1	127	speech	verse	Norfolk_H8	Together; to consider further that
Henry VIII	1	1	128	speech	verse	Norfolk_H8	What his high hatred would effect wants not
Henry VIII	1	1	129	speech	verse	Norfolk_H8	A minister in his power. You know his nature,
Henry VIII	1	1	130	speech	verse	Norfolk_H8	That he’s revengeful, and I know his sword
Henry VIII	1	1	131	speech	verse	Norfolk_H8	Hath a sharp edge; it’s long, and ’t may be said
Henry VIII	1	1	132	speech	verse	Norfolk_H8	It reaches far, and where ’twill not extend,
Henry VIII	1	1	133	speech	verse	Norfolk_H8	Thither he darts it. Bosom up my counsel;
Henry VIII	1	1	134	speech	verse	Norfolk_H8	You’ll find it wholesome. Lo where comes that rock
Henry VIII	1	1	135	speech	verse	Norfolk_H8	That I advise your shunning.
Henry VIII	1	1	136	direction	entrance	Wolsey_H8	Enter Cardinal Wolsey, the purse borne before him,certain of the Guard, and two Secretaries with papers.
Henry VIII	1	1	136	direction	entrance	SECRETARIES_H8	Enter Cardinal Wolsey, the purse borne before him,certain of the Guard, and two Secretaries with papers.
Henry VIII	1	1	136	direction	entrance	GUARDS_H8	Enter Cardinal Wolsey, the purse borne before him,certain of the Guard, and two Secretaries with papers.
Henry VIII	1	1	137	direction	business	Wolsey_H8	The Cardinal in his passage fixeth his eye on Buckingham,and Buckingham on him, both full of disdain.
Henry VIII	1	1	137	direction	business	Buckingham_H8	The Cardinal in his passage fixeth his eye on Buckingham,and Buckingham on him, both full of disdain.
Henry VIII	1	1	138	direction	delivery	Wolsey_H8	, aside to a Secretary
Henry VIII	1	1	139	speech	verse	Wolsey_H8	The Duke of Buckingham’s surveyor, ha?
Henry VIII	1	1	140	speech	verse	Wolsey_H8	Where’s his examination?
