title	act	scene	number	type	subtype	who	text
Julius Caesar	1	1	1	direction	entrance	Flavius_JC	Enter Flavius, Marullus, and certain Commoners,including a Carpenter and a Cobbler, over the stage.
Julius Caesar	1	1	1	direction	entrance	Marullus_JC	Enter Flavius, Marullus, and certain Commoners,including a Carpenter and a Cobbler, over the stage.
Julius Caesar	1	1	1	direction	entrance	COMMONERS.Carpenter_JC	Enter Flavius, Marullus, and certain Commoners,including a Carpenter and a Cobbler, over the stage.
Julius Caesar	1	1	1	direction	entrance	COMMONERS.Cobbler_JC	Enter Flavius, Marullus, and certain Commoners,including a Carpenter and a Cobbler, over the stage.
Julius Caesar	1	1	1	direction	entrance	COMMONERS_JC	Enter Flavius, Marullus, and certain Commoners,including a Carpenter and a Cobbler, over the stage.
Julius Caesar	1	1	2	speech	verse	Flavius_JC	Hence! Home, you idle creatures, get you home!
Julius Caesar	1	1	3	speech	verse	Flavius_JC	Is this a holiday? What, know you not,
Julius Caesar	1	1	4	speech	verse	Flavius_JC	Being mechanical, you ought not walk
Julius Caesar	1	1	5	speech	verse	Flavius_JC	Upon a laboring day without the sign
Julius Caesar	1	1	6	speech	verse	Flavius_JC	Of your profession?—Speak, what trade art thou?
Julius Caesar	1	1	7	speech	prose	COMMONERS.Carpenter_JC	Why, sir, a carpenter.
Julius Caesar	1	1	8	speech	verse	Marullus_JC	Where is thy leather apron and thy rule?
Julius Caesar	1	1	9	speech	verse	Marullus_JC	What dost thou with thy best apparel on?—
Julius Caesar	1	1	10	speech	verse	Marullus_JC	You, sir, what trade are you?
Julius Caesar	1	1	11	speech	prose	COMMONERS.Cobbler_JC	Truly, sir, in respect of a fine workman, I am but, as you would say, a cobbler.
Julius Caesar	1	1	12	speech	verse	Marullus_JC	But what trade art thou? Answer me directly.
Julius Caesar	1	1	13	speech	prose	COMMONERS.Cobbler_JC	A trade, sir, that I hope I may use with a safe conscience, which is indeed, sir, a mender of bad soles.
Julius Caesar	1	1	14	speech	verse	Flavius_JC	What trade, thou knave? Thou naughty knave, what trade?
Julius Caesar	1	1	15	speech	prose	COMMONERS.Cobbler_JC	Nay, I beseech you, sir, be not out with me. Yet if you be out, sir, I can mend you.
Julius Caesar	1	1	16	speech	verse	Marullus_JC	What mean’st thou by that? Mend me, thou saucy fellow?
Julius Caesar	1	1	17	speech	prose	COMMONERS.Cobbler_JC	Why, sir, cobble you.
Julius Caesar	1	1	18	speech	prose	Flavius_JC	Thou art a cobbler, art thou?
Julius Caesar	1	1	19	speech	prose	COMMONERS.Cobbler_JC	Truly, sir, all that I live by is with the awl. I meddle with no tradesman’s matters nor women’s matters, but withal I am indeed, sir, a surgeon to old shoes: when they are in great danger, I recover them. As proper men as ever trod upon neat’s leather have gone upon my handiwork.
Julius Caesar	1	1	20	speech	verse	Flavius_JC	But wherefore art not in thy shop today?
Julius Caesar	1	1	21	speech	verse	Flavius_JC	Why dost thou lead these men about the streets?
Julius Caesar	1	1	22	speech	prose	COMMONERS.Cobbler_JC	Truly, sir, to wear out their shoes, to get myself into more work. But indeed, sir, we make holiday to see Caesar and to rejoice in his triumph.
Julius Caesar	1	1	23	speech	verse	Marullus_JC	Wherefore rejoice? What conquest brings he home?
Julius Caesar	1	1	24	speech	verse	Marullus_JC	What tributaries follow him to Rome
Julius Caesar	1	1	25	speech	verse	Marullus_JC	To grace in captive bonds his chariot wheels?
Julius Caesar	1	1	26	speech	verse	Marullus_JC	You blocks, you stones, you worse than senseless things!
Julius Caesar	1	1	27	speech	verse	Marullus_JC	O you hard hearts, you cruel men of Rome,
Julius Caesar	1	1	28	speech	verse	Marullus_JC	Knew you not Pompey? Many a time and oft
Julius Caesar	1	1	29	speech	verse	Marullus_JC	Have you climbed up to walls and battlements,
Julius Caesar	1	1	30	speech	verse	Marullus_JC	To towers and windows, yea, to chimney tops,
Julius Caesar	1	1	31	speech	verse	Marullus_JC	Your infants in your arms, and there have sat
Julius Caesar	1	1	32	speech	verse	Marullus_JC	The livelong day, with patient expectation,
Julius Caesar	1	1	33	speech	verse	Marullus_JC	To see great Pompey pass the streets of Rome.
Julius Caesar	1	1	34	speech	verse	Marullus_JC	And when you saw his chariot but appear,
Julius Caesar	1	1	35	speech	verse	Marullus_JC	Have you not made an universal shout,
Julius Caesar	1	1	36	speech	verse	Marullus_JC	That Tiber trembled underneath her banks
Julius Caesar	1	1	37	speech	verse	Marullus_JC	To hear the replication of your sounds
Julius Caesar	1	1	38	speech	verse	Marullus_JC	Made in her concave shores?
Julius Caesar	1	1	39	speech	verse	Marullus_JC	And do you now put on your best attire?
Julius Caesar	1	1	40	speech	verse	Marullus_JC	And do you now cull out a holiday?
Julius Caesar	1	1	41	speech	verse	Marullus_JC	And do you now strew flowers in his way
Julius Caesar	1	1	42	speech	verse	Marullus_JC	That comes in triumph over Pompey’s blood?
Julius Caesar	1	1	43	speech	verse	Marullus_JC	Be gone!
Julius Caesar	1	1	44	speech	verse	Marullus_JC	Run to your houses, fall upon your knees,
Julius Caesar	1	1	45	speech	verse	Marullus_JC	Pray to the gods to intermit the plague
Julius Caesar	1	1	46	speech	verse	Marullus_JC	That needs must light on this ingratitude.
Julius Caesar	1	1	47	speech	verse	Flavius_JC	Go, go, good countrymen, and for this fault
Julius Caesar	1	1	48	speech	verse	Flavius_JC	Assemble all the poor men of your sort,
Julius Caesar	1	1	49	speech	verse	Flavius_JC	Draw them to Tiber banks, and weep your tears
Julius Caesar	1	1	50	speech	verse	Flavius_JC	Into the channel, till the lowest stream
Julius Caesar	1	1	51	speech	verse	Flavius_JC	Do kiss the most exalted shores of all.
Julius Caesar	1	1	52	direction	exit	COMMONERS.Carpenter_JC	All the Commoners exit.
Julius Caesar	1	1	52	direction	exit	COMMONERS.Cobbler_JC	All the Commoners exit.
Julius Caesar	1	1	52	direction	exit	COMMONERS_JC	All the Commoners exit.
Julius Caesar	1	1	53	speech	verse	Flavius_JC	See whe’er their basest mettle be not moved.
Julius Caesar	1	1	54	speech	verse	Flavius_JC	They vanish tongue-tied in their guiltiness.
Julius Caesar	1	1	55	speech	verse	Flavius_JC	Go you down that way towards the Capitol.
Julius Caesar	1	1	56	speech	verse	Flavius_JC	This way will I. Disrobe the images
Julius Caesar	1	1	57	speech	verse	Flavius_JC	If you do find them decked with ceremonies.
Julius Caesar	1	1	58	speech	verse	Marullus_JC	May we do so?
Julius Caesar	1	1	59	speech	verse	Marullus_JC	You know it is the feast of Lupercal.
Julius Caesar	1	1	60	speech	verse	Flavius_JC	It is no matter. Let no images
Julius Caesar	1	1	61	speech	verse	Flavius_JC	Be hung with Caesar’s trophies. I’ll about
Julius Caesar	1	1	62	speech	verse	Flavius_JC	And drive away the vulgar from the streets;
Julius Caesar	1	1	63	speech	verse	Flavius_JC	So do you too, where you perceive them thick.
Julius Caesar	1	1	64	speech	verse	Flavius_JC	These growing feathers plucked from Caesar’s wing
Julius Caesar	1	1	65	speech	verse	Flavius_JC	Will make him fly an ordinary pitch,
Julius Caesar	1	1	66	speech	verse	Flavius_JC	Who else would soar above the view of men
Julius Caesar	1	1	67	speech	verse	Flavius_JC	And keep us all in servile fearfulness.
Julius Caesar	1	1	68	direction	exit	Flavius_JC	They exit in different directions.
Julius Caesar	1	1	68	direction	exit	Marullus_JC	They exit in different directions.
Julius Caesar	1	2	69	direction	entrance	Caesar_JC	Enter Caesar, Antony for the course, Calphurnia, Portia,Decius, Cicero, Brutus, Cassius, Casca, a Soothsayer;after them Marullus and Flavius and Commoners.
Julius Caesar	1	2	69	direction	entrance	Antony_JC	Enter Caesar, Antony for the course, Calphurnia, Portia,Decius, Cicero, Brutus, Cassius, Casca, a Soothsayer;after them Marullus and Flavius and Commoners.
Julius Caesar	1	2	69	direction	entrance	Calphurnia_JC	Enter Caesar, Antony for the course, Calphurnia, Portia,Decius, Cicero, Brutus, Cassius, Casca, a Soothsayer;after them Marullus and Flavius and Commoners.
Julius Caesar	1	2	69	direction	entrance	Portia_JC	Enter Caesar, Antony for the course, Calphurnia, Portia,Decius, Cicero, Brutus, Cassius, Casca, a Soothsayer;after them Marullus and Flavius and Commoners.
Julius Caesar	1	2	69	direction	entrance	Decius_JC	Enter Caesar, Antony for the course, Calphurnia, Portia,Decius, Cicero, Brutus, Cassius, Casca, a Soothsayer;after them Marullus and Flavius and Commoners.
Julius Caesar	1	2	69	direction	entrance	Cicero_JC	Enter Caesar, Antony for the course, Calphurnia, Portia,Decius, Cicero, Brutus, Cassius, Casca, a Soothsayer;after them Marullus and Flavius and Commoners.
Julius Caesar	1	2	69	direction	entrance	Brutus_JC	Enter Caesar, Antony for the course, Calphurnia, Portia,Decius, Cicero, Brutus, Cassius, Casca, a Soothsayer;after them Marullus and Flavius and Commoners.
Julius Caesar	1	2	69	direction	entrance	Cassius_JC	Enter Caesar, Antony for the course, Calphurnia, Portia,Decius, Cicero, Brutus, Cassius, Casca, a Soothsayer;after them Marullus and Flavius and Commoners.
Julius Caesar	1	2	69	direction	entrance	Casca_JC	Enter Caesar, Antony for the course, Calphurnia, Portia,Decius, Cicero, Brutus, Cassius, Casca, a Soothsayer;after them Marullus and Flavius and Commoners.
Julius Caesar	1	2	69	direction	entrance	Soothsayer_JC	Enter Caesar, Antony for the course, Calphurnia, Portia,Decius, Cicero, Brutus, Cassius, Casca, a Soothsayer;after them Marullus and Flavius and Commoners.
Julius Caesar	1	2	69	direction	entrance	Marullus_JC	Enter Caesar, Antony for the course, Calphurnia, Portia,Decius, Cicero, Brutus, Cassius, Casca, a Soothsayer;after them Marullus and Flavius and Commoners.
Julius Caesar	1	2	69	direction	entrance	Flavius_JC	Enter Caesar, Antony for the course, Calphurnia, Portia,Decius, Cicero, Brutus, Cassius, Casca, a Soothsayer;after them Marullus and Flavius and Commoners.
Julius Caesar	1	2	69	direction	entrance	COMMONERS_JC	Enter Caesar, Antony for the course, Calphurnia, Portia,Decius, Cicero, Brutus, Cassius, Casca, a Soothsayer;after them Marullus and Flavius and Commoners.
Julius Caesar	1	2	70	speech	verse	Caesar_JC	Calphurnia.
Julius Caesar	1	2	71	speech	verse	Casca_JC	Peace, ho! Caesar speaks.
Julius Caesar	1	2	72	speech	verse	Caesar_JC	Calphurnia.
Julius Caesar	1	2	73	speech	prose	Calphurnia_JC	Here, my lord.
Julius Caesar	1	2	74	speech	verse	Caesar_JC	Stand you directly in Antonius’ way
Julius Caesar	1	2	75	speech	verse	Caesar_JC	When he doth run his course.—Antonius.
Julius Caesar	1	2	76	speech	prose	Antony_JC	Caesar, my lord.
Julius Caesar	1	2	77	speech	verse	Caesar_JC	Forget not in your speed, Antonius,
Julius Caesar	1	2	78	speech	verse	Caesar_JC	To touch Calphurnia, for our elders say
Julius Caesar	1	2	79	speech	verse	Caesar_JC	The barren, touchèd in this holy chase,
Julius Caesar	1	2	80	speech	verse	Caesar_JC	Shake off their sterile curse.
Julius Caesar	1	2	81	speech	verse	Antony_JC	I shall remember.
Julius Caesar	1	2	82	speech	verse	Antony_JC	When Caesar says “Do this,” it is performed.
Julius Caesar	1	2	83	speech	verse	Caesar_JC	Set on and leave no ceremony out.
Julius Caesar	1	2	84	direction	sound		Sennet.
Julius Caesar	1	2	85	speech	prose	Soothsayer_JC	Caesar.
Julius Caesar	1	2	86	speech	prose	Caesar_JC	Ha! Who calls?
Julius Caesar	1	2	87	speech	verse	Casca_JC	Bid every noise be still. Peace, yet again!
