title	act	scene	number	type	subtype	who	text
Macbeth	1	1	1	direction	entrance	WITCHES.1_Mac	and Lightning. Enter three Witches.
Macbeth	1	1	1	direction	entrance	WITCHES.2_Mac	and Lightning. Enter three Witches.
Macbeth	1	1	1	direction	entrance	WITCHES.3_Mac	and Lightning. Enter three Witches.
Macbeth	1	1	2	direction	sound		Thunder
Macbeth	1	1	3	speech	verse	WITCHES.1_Mac	When shall we three meet again?
Macbeth	1	1	4	speech	verse	WITCHES.1_Mac	In thunder, lightning, or in rain?
Macbeth	1	1	5	speech	verse	WITCHES.2_Mac	When the hurly-burly’s done,
Macbeth	1	1	6	speech	verse	WITCHES.2_Mac	When the battle’s lost and won.
Macbeth	1	1	7	speech	verse	WITCHES.3_Mac	That will be ere the set of sun.
Macbeth	1	1	8	speech	verse	WITCHES.1_Mac	Where the place?
Macbeth	1	1	9	speech	verse	WITCHES.2_Mac	Upon the heath.
Macbeth	1	1	10	speech	verse	WITCHES.3_Mac	There to meet with Macbeth.
Macbeth	1	1	11	speech	prose	WITCHES.1_Mac	I come, Graymalkin.
Macbeth	1	1	12	speech	prose	WITCHES.2_Mac	Paddock calls.
Macbeth	1	1	13	speech	prose	WITCHES.3_Mac	Anon.
Macbeth	1	1	14	speech	verse	WITCHES.1_Mac	Fair is foul, and foul is fair;
Macbeth	1	1	14	speech	verse	WITCHES.2_Mac	Fair is foul, and foul is fair;
Macbeth	1	1	14	speech	verse	WITCHES.3_Mac	Fair is foul, and foul is fair;
Macbeth	1	1	15	speech	verse	WITCHES.1_Mac	Hover through the fog and filthy air.
Macbeth	1	1	15	speech	verse	WITCHES.2_Mac	Hover through the fog and filthy air.
Macbeth	1	1	15	speech	verse	WITCHES.3_Mac	Hover through the fog and filthy air.
Macbeth	1	1	16	direction	exit	WITCHES.1_Mac	They exit.
Macbeth	1	1	16	direction	exit	WITCHES.2_Mac	They exit.
Macbeth	1	1	16	direction	exit	WITCHES.3_Mac	They exit.
Macbeth	1	2	17	direction	entrance	Duncan_Mac	Enter King Duncan, Malcolm,Donalbain, Lennox, with Attendants, meeting a bleeding Captain.
Macbeth	1	2	17	direction	entrance	Malcolm_Mac	Enter King Duncan, Malcolm,Donalbain, Lennox, with Attendants, meeting a bleeding Captain.
Macbeth	1	2	17	direction	entrance	Donalbain_Mac	Enter King Duncan, Malcolm,Donalbain, Lennox, with Attendants, meeting a bleeding Captain.
Macbeth	1	2	17	direction	entrance	Lennox_Mac	Enter King Duncan, Malcolm,Donalbain, Lennox, with Attendants, meeting a bleeding Captain.
Macbeth	1	2	17	direction	entrance	ATTENDANTS_Mac	Enter King Duncan, Malcolm,Donalbain, Lennox, with Attendants, meeting a bleeding Captain.
Macbeth	1	2	17	direction	entrance	SOLDIERS.Captain_Mac	Enter King Duncan, Malcolm,Donalbain, Lennox, with Attendants, meeting a bleeding Captain.
Macbeth	1	2	18	direction	sound		Alarum within.
Macbeth	1	2	19	speech	verse	Duncan_Mac	What bloody man is that? He can report,
Macbeth	1	2	20	speech	verse	Duncan_Mac	As seemeth by his plight, of the revolt
Macbeth	1	2	21	speech	verse	Duncan_Mac	The newest state.
Macbeth	1	2	22	speech	verse	Malcolm_Mac	This is the sergeant
Macbeth	1	2	23	speech	verse	Malcolm_Mac	Who, like a good and hardy soldier, fought
Macbeth	1	2	24	speech	verse	Malcolm_Mac	’Gainst my captivity.—Hail, brave friend!
Macbeth	1	2	25	speech	verse	Malcolm_Mac	Say to the King the knowledge of the broil
Macbeth	1	2	26	speech	verse	Malcolm_Mac	As thou didst leave it.
Macbeth	1	2	27	speech	verse	SOLDIERS.Captain_Mac	Doubtful it stood,
Macbeth	1	2	28	speech	verse	SOLDIERS.Captain_Mac	As two spent swimmers that do cling together
Macbeth	1	2	29	speech	verse	SOLDIERS.Captain_Mac	And choke their art. The merciless Macdonwald
Macbeth	1	2	30	speech	verse	SOLDIERS.Captain_Mac	(Worthy to be a rebel, for to that
Macbeth	1	2	31	speech	verse	SOLDIERS.Captain_Mac	The multiplying villainies of nature
Macbeth	1	2	32	speech	verse	SOLDIERS.Captain_Mac	Do swarm upon him) from the Western Isles
Macbeth	1	2	33	speech	verse	SOLDIERS.Captain_Mac	Of kerns and gallowglasses is supplied;
Macbeth	1	2	34	speech	verse	SOLDIERS.Captain_Mac	And Fortune, on his damnèd quarrel smiling,
Macbeth	1	2	35	speech	verse	SOLDIERS.Captain_Mac	Showed like a rebel’s whore. But all’s too weak;
Macbeth	1	2	36	speech	verse	SOLDIERS.Captain_Mac	For brave Macbeth (well he deserves that name),
Macbeth	1	2	37	speech	verse	SOLDIERS.Captain_Mac	Disdaining Fortune, with his brandished steel,
Macbeth	1	2	38	speech	verse	SOLDIERS.Captain_Mac	Which smoked with bloody execution,
Macbeth	1	2	39	speech	verse	SOLDIERS.Captain_Mac	Like Valor’s minion, carved out his passage
Macbeth	1	2	40	speech	verse	SOLDIERS.Captain_Mac	Till he faced the slave;
Macbeth	1	2	41	speech	verse	SOLDIERS.Captain_Mac	Which ne’er shook hands, nor bade farewell to him,
Macbeth	1	2	42	speech	verse	SOLDIERS.Captain_Mac	Till he unseamed him from the nave to th’ chops,
