title	act	scene	number	type	subtype	who	text
Richard II	1	1	1	direction	entrance	RichardII_R2	Enter King Richard, John of Gaunt, with other Nobles and Attendants.
Richard II	1	1	1	direction	entrance	Gaunt_R2	Enter King Richard, John of Gaunt, with other Nobles and Attendants.
Richard II	1	1	1	direction	entrance	LORDS_R2	Enter King Richard, John of Gaunt, with other Nobles and Attendants.
Richard II	1	1	1	direction	entrance	ATTENDANTS_R2	Enter King Richard, John of Gaunt, with other Nobles and Attendants.
Richard II	1	1	2	speech	verse	RichardII_R2	Old John of Gaunt, time-honored Lancaster,
Richard II	1	1	3	speech	verse	RichardII_R2	Hast thou, according to thy oath and band,
Richard II	1	1	4	speech	verse	RichardII_R2	Brought hither Henry Hereford, thy bold son,
Richard II	1	1	5	speech	verse	RichardII_R2	Here to make good the boist’rous late appeal,
Richard II	1	1	6	speech	verse	RichardII_R2	Which then our leisure would not let us hear,
Richard II	1	1	7	speech	verse	RichardII_R2	Against the Duke of Norfolk, Thomas Mowbray?
Richard II	1	1	8	speech	verse	Gaunt_R2	I have, my liege.
Richard II	1	1	9	speech	verse	RichardII_R2	Tell me, moreover, hast thou sounded him
Richard II	1	1	10	speech	verse	RichardII_R2	If he appeal the Duke on ancient malice
Richard II	1	1	11	speech	verse	RichardII_R2	Or worthily, as a good subject should,
Richard II	1	1	12	speech	verse	RichardII_R2	On some known ground of treachery in him?
Richard II	1	1	13	speech	verse	Gaunt_R2	As near as I could sift him on that argument,
Richard II	1	1	14	speech	verse	Gaunt_R2	On some apparent danger seen in him
Richard II	1	1	15	speech	verse	Gaunt_R2	Aimed at your Highness, no inveterate malice.
Richard II	1	1	16	speech	verse	RichardII_R2	Then call them to our presence.
Richard II	1	1	17	direction	exit	ATTENDANTS.0.1_R2	An Attendant exits.
Richard II	1	1	18	speech	verse	RichardII_R2	Face to face
Richard II	1	1	19	speech	verse	RichardII_R2	And frowning brow to brow, ourselves will hear
Richard II	1	1	20	speech	verse	RichardII_R2	The accuser and the accusèd freely speak.
Richard II	1	1	21	speech	verse	RichardII_R2	High stomached are they both and full of ire,
Richard II	1	1	22	speech	verse	RichardII_R2	In rage deaf as the sea, hasty as fire.
Richard II	1	1	23	direction	entrance	HenryIV_1H4	Enter Bolingbroke and Mowbray.
Richard II	1	1	23	direction	entrance	Mowbray_R2	Enter Bolingbroke and Mowbray.
Richard II	1	1	24	speech	verse	HenryIV_1H4	Many years of happy days befall
Richard II	1	1	25	speech	verse	HenryIV_1H4	My gracious sovereign, my most loving liege.
Richard II	1	1	26	speech	verse	Mowbray_R2	Each day still better other’s happiness
Richard II	1	1	27	speech	verse	Mowbray_R2	Until the heavens, envying earth’s good hap,
Richard II	1	1	28	speech	verse	Mowbray_R2	Add an immortal title to your crown.
Richard II	1	1	29	speech	verse	RichardII_R2	We thank you both. Yet one but flatters us,
Richard II	1	1	30	speech	verse	RichardII_R2	As well appeareth by the cause you come:
Richard II	1	1	31	speech	verse	RichardII_R2	Namely, to appeal each other of high treason.
Richard II	1	1	32	speech	verse	RichardII_R2	Cousin of Hereford, what dost thou object
Richard II	1	1	33	speech	verse	RichardII_R2	Against the Duke of Norfolk, Thomas Mowbray?
Richard II	1	1	34	speech	verse	HenryIV_1H4	First—heaven be the record to my speech!—
Richard II	1	1	35	speech	verse	HenryIV_1H4	In the devotion of a subject’s love,
Richard II	1	1	36	speech	verse	HenryIV_1H4	Tend’ring the precious safety of my prince
Richard II	1	1	37	speech	verse	HenryIV_1H4	And free from other misbegotten hate,
Richard II	1	1	38	speech	verse	HenryIV_1H4	Come I appellant to this princely presence.—
Richard II	1	1	39	speech	verse	HenryIV_1H4	Now, Thomas Mowbray, do I turn to thee;
Richard II	1	1	40	speech	verse	HenryIV_1H4	And mark my greeting well, for what I speak
Richard II	1	1	41	speech	verse	HenryIV_1H4	My body shall make good upon this earth
Richard II	1	1	42	speech	verse	HenryIV_1H4	Or my divine soul answer it in heaven.
Richard II	1	1	43	speech	verse	HenryIV_1H4	Thou art a traitor and a miscreant,
Richard II	1	1	44	speech	verse	HenryIV_1H4	Too good to be so and too bad to live,
Richard II	1	1	45	speech	verse	HenryIV_1H4	Since the more fair and crystal is the sky,
Richard II	1	1	46	speech	verse	HenryIV_1H4	The uglier seem the clouds that in it fly.
Richard II	1	1	47	speech	verse	HenryIV_1H4	Once more, the more to aggravate the note,
Richard II	1	1	48	speech	verse	HenryIV_1H4	With a foul traitor’s name stuff I thy throat,
Richard II	1	1	49	speech	verse	HenryIV_1H4	And wish, so please my sovereign, ere I move,
Richard II	1	1	50	speech	verse	HenryIV_1H4	What my tongue speaks my right-drawn sword may prove.
Richard II	1	1	51	speech	verse	Mowbray_R2	Let not my cold words here accuse my zeal.
Richard II	1	1	52	speech	verse	Mowbray_R2	’Tis not the trial of a woman’s war,
Richard II	1	1	53	speech	verse	Mowbray_R2	The bitter clamor of two eager tongues,
Richard II	1	1	54	speech	verse	Mowbray_R2	Can arbitrate this cause betwixt us twain.
Richard II	1	1	55	speech	verse	Mowbray_R2	The blood is hot that must be cooled for this.
Richard II	1	1	56	speech	verse	Mowbray_R2	Yet can I not of such tame patience boast
Richard II	1	1	57	speech	verse	Mowbray_R2	As to be hushed and naught at all to say.
Richard II	1	1	58	speech	verse	Mowbray_R2	First, the fair reverence of your Highness curbs me
