title	act	scene	number	type	subtype	who	text
The Merry Wives of Windsor	1	1	1	direction	entrance	Shallow_2H4	Enter Justice Shallow, Slender, and Sir Hugh Evans.
The Merry Wives of Windsor	1	1	1	direction	entrance	Slender_Wiv	Enter Justice Shallow, Slender, and Sir Hugh Evans.
The Merry Wives of Windsor	1	1	1	direction	entrance	HughEvans_Wiv	Enter Justice Shallow, Slender, and Sir Hugh Evans.
The Merry Wives of Windsor	1	1	2	speech	prose	Shallow_2H4	Sir Hugh, persuade me not. I will make a Star-Chamber matter of it. If he were twenty Sir John Falstaffs, he shall not abuse Robert Shallow, Esquire.
The Merry Wives of Windsor	1	1	3	speech	prose	Slender_Wiv	In the county of Gloucester, Justice of Peace and Coram.
The Merry Wives of Windsor	1	1	4	speech	prose	Shallow_2H4	Ay, Cousin Slender, and Custalorum.
The Merry Wives of Windsor	1	1	5	speech	prose	Slender_Wiv	Ay, and Ratolorum too; and a gentleman born, Master Parson, who writes himself “Armigero” in any bill, warrant, quittance, or obligation— “Armigero!”
The Merry Wives of Windsor	1	1	6	speech	prose	Shallow_2H4	Ay, that I do, and have done any time these three hundred years.
The Merry Wives of Windsor	1	1	7	speech	prose	Slender_Wiv	All his successors gone before him hath done ’t, and all his ancestors that come after him may. They may give the dozen white luces in their coat.
The Merry Wives of Windsor	1	1	8	speech	prose	Shallow_2H4	It is an old coat.
The Merry Wives of Windsor	1	1	9	speech	prose	HughEvans_Wiv	The dozen white louses do become an old coat well. It agrees well, passant. It is a familiar beast to man and signifies love.
The Merry Wives of Windsor	1	1	10	speech	prose	Shallow_2H4	The luce is the fresh fish. The salt fish is an old coat.
The Merry Wives of Windsor	1	1	11	speech	prose	Slender_Wiv	I may quarter, coz.
The Merry Wives of Windsor	1	1	12	speech	prose	Shallow_2H4	You may, by marrying.
The Merry Wives of Windsor	1	1	13	speech	prose	HughEvans_Wiv	It is marring indeed, if he quarter it.
The Merry Wives of Windsor	1	1	14	speech	prose	Shallow_2H4	Not a whit.
