title	act	scene	number	type	subtype	who	text
The Taming of the Shrew	1	1	1	direction	entrance	Lucentio_Shr	Enter Lucentio and his man Tranio.
The Taming of the Shrew	1	1	1	direction	entrance	Tranio_Shr	Enter Lucentio and his man Tranio.
The Taming of the Shrew	1	1	2	direction	sound		Flourish.
The Taming of the Shrew	1	1	3	speech	verse	Lucentio_Shr	Tranio, since for the great desire I had
The Taming of the Shrew	1	1	4	speech	verse	Lucentio_Shr	To see fair Padua, nursery of arts,
The Taming of the Shrew	1	1	5	speech	verse	Lucentio_Shr	I am arrived for fruitful Lombardy,
The Taming of the Shrew	1	1	6	speech	verse	Lucentio_Shr	The pleasant garden of great Italy,
The Taming of the Shrew	1	1	7	speech	verse	Lucentio_Shr	And by my father’s love and leave am armed
The Taming of the Shrew	1	1	8	speech	verse	Lucentio_Shr	With his goodwill and thy good company.
The Taming of the Shrew	1	1	9	speech	verse	Lucentio_Shr	My trusty servant well approved in all,
The Taming of the Shrew	1	1	10	speech	verse	Lucentio_Shr	Here let us breathe and haply institute
The Taming of the Shrew	1	1	11	speech	verse	Lucentio_Shr	A course of learning and ingenious studies.
The Taming of the Shrew	1	1	12	speech	verse	Lucentio_Shr	Pisa, renownèd for grave citizens,
The Taming of the Shrew	1	1	13	speech	verse	Lucentio_Shr	Gave me my being, and my father first,
The Taming of the Shrew	1	1	14	speech	verse	Lucentio_Shr	A merchant of great traffic through the world,
The Taming of the Shrew	1	1	15	speech	verse	Lucentio_Shr	Vincentio, come of the Bentivolii.
The Taming of the Shrew	1	1	16	speech	verse	Lucentio_Shr	Vincentio’s son, brought up in Florence,
The Taming of the Shrew	1	1	17	speech	verse	Lucentio_Shr	It shall become to serve all hopes conceived
The Taming of the Shrew	1	1	18	speech	verse	Lucentio_Shr	To deck his fortune with his virtuous deeds.
The Taming of the Shrew	1	1	19	speech	verse	Lucentio_Shr	And therefore, Tranio, for the time I study
The Taming of the Shrew	1	1	20	speech	verse	Lucentio_Shr	Virtue, and that part of philosophy
The Taming of the Shrew	1	1	21	speech	verse	Lucentio_Shr	Will I apply that treats of happiness
The Taming of the Shrew	1	1	22	speech	verse	Lucentio_Shr	By virtue specially to be achieved.
The Taming of the Shrew	1	1	23	speech	verse	Lucentio_Shr	Tell me thy mind, for I have Pisa left
The Taming of the Shrew	1	1	24	speech	verse	Lucentio_Shr	And am to Padua come, as he that leaves
The Taming of the Shrew	1	1	25	speech	verse	Lucentio_Shr	A shallow plash to plunge him in the deep
The Taming of the Shrew	1	1	26	speech	verse	Lucentio_Shr	And with satiety seeks to quench his thirst.
The Taming of the Shrew	1	1	27	speech	verse	Tranio_Shr	Mi perdonato, gentle master mine.
The Taming of the Shrew	1	1	28	speech	verse	Tranio_Shr	I am in all affected as yourself,
The Taming of the Shrew	1	1	29	speech	verse	Tranio_Shr	Glad that you thus continue your resolve
The Taming of the Shrew	1	1	30	speech	verse	Tranio_Shr	To suck the sweets of sweet philosophy.
The Taming of the Shrew	1	1	31	speech	verse	Tranio_Shr	Only, good master, while we do admire
The Taming of the Shrew	1	1	32	speech	verse	Tranio_Shr	This virtue and this moral discipline,
The Taming of the Shrew	1	1	33	speech	verse	Tranio_Shr	Let’s be no stoics nor no stocks, I pray,
The Taming of the Shrew	1	1	34	speech	verse	Tranio_Shr	Or so devote to Aristotle’s checks
The Taming of the Shrew	1	1	35	speech	verse	Tranio_Shr	As Ovid be an outcast quite abjured.
The Taming of the Shrew	1	1	36	speech	verse	Tranio_Shr	Balk logic with acquaintance that you have,
The Taming of the Shrew	1	1	37	speech	verse	Tranio_Shr	And practice rhetoric in your common talk;
