title	act	scene	number	type	subtype	who	text
The Winter's Tale	1	1	1	direction	entrance	Camillo_WT	Enter Camillo and Archidamus.
The Winter's Tale	1	1	1	direction	entrance	Archidamus_WT	Enter Camillo and Archidamus.
The Winter's Tale	1	1	2	speech	prose	Archidamus_WT	If you shall chance, Camillo, to visit Bohemia on the like occasion whereon my services are now on foot, you shall see, as I have said, great difference betwixt our Bohemia and your Sicilia.
The Winter's Tale	1	1	3	speech	prose	Camillo_WT	I think this coming summer the King of Sicilia means to pay Bohemia the visitation which he justly owes him.
The Winter's Tale	1	1	4	speech	prose	Archidamus_WT	Wherein our entertainment shall shame us; we will be justified in our loves. For indeed—
The Winter's Tale	1	1	5	speech	prose	Camillo_WT	Beseech you—
The Winter's Tale	1	1	6	speech	prose	Archidamus_WT	Verily, I speak it in the freedom of my knowledge. We cannot with such magnificence—in so rare—I know not what to say. We will give you sleepy drinks, that your senses, unintelligent of our insufficience, may, though they cannot praise us, as little accuse us.
The Winter's Tale	1	1	7	speech	prose	Camillo_WT	You pay a great deal too dear for what’s given freely.
The Winter's Tale	1	1	8	speech	prose	Archidamus_WT	Believe me, I speak as my understanding instructs me and as mine honesty puts it to utterance.
The Winter's Tale	1	1	9	speech	prose	Camillo_WT	Sicilia cannot show himself over-kind to Bohemia. They were trained together in their childhoods, and there rooted betwixt them then such an affection which cannot choose but branch now. Since their more mature dignities and royal necessities made separation of their society, their encounters, though not personal, hath been royally attorneyed with interchange of gifts, letters, loving embassies, that they have seemed to be together though absent, shook hands as over a vast, and embraced as it were from the ends of opposed winds. The heavens continue their loves.
The Winter's Tale	1	1	10	speech	prose	Archidamus_WT	I think there is not in the world either malice or matter to alter it. You have an unspeakable comfort of your young Prince Mamillius. It is a gentleman of the greatest promise that ever came into my note.
The Winter's Tale	1	1	11	speech	prose	Camillo_WT	I very well agree with you in the hopes of him. It is a gallant child—one that indeed physics the subject, makes old hearts fresh. They that went on crutches ere he was born desire yet their life to see him a man.
The Winter's Tale	1	1	12	speech	prose	Archidamus_WT	Would they else be content to die?
