title	act	scene	number	type	subtype	who	text
Titus Andronicus	1	1	1	direction	entrance	TRIBUNES_Tit	Enter the Tribunes (including Marcus Andronicus) and Senators aloft. And then enter, below,Saturninus and his followers at one door, and Bassianus and his followers at another door, with other Romans,
Titus Andronicus	1	1	1	direction	entrance	Marcus_Tit	Enter the Tribunes (including Marcus Andronicus) and Senators aloft. And then enter, below,Saturninus and his followers at one door, and Bassianus and his followers at another door, with other Romans,
Titus Andronicus	1	1	1	direction	entrance	SENATORS_Tit	Enter the Tribunes (including Marcus Andronicus) and Senators aloft. And then enter, below,Saturninus and his followers at one door, and Bassianus and his followers at another door, with other Romans,
Titus Andronicus	1	1	1	direction	entrance	Saturninus_Tit	Enter the Tribunes (including Marcus Andronicus) and Senators aloft. And then enter, below,Saturninus and his followers at one door, and Bassianus and his followers at another door, with other Romans,
Titus Andronicus	1	1	1	direction	entrance	Bassianus_Tit	Enter the Tribunes (including Marcus Andronicus) and Senators aloft. And then enter, below,Saturninus and his followers at one door, and Bassianus and his followers at another door, with other Romans,
Titus Andronicus	1	1	1	direction	entrance	ROMANS_Tit	Enter the Tribunes (including Marcus Andronicus) and Senators aloft. And then enter, below,Saturninus and his followers at one door, and Bassianus and his followers at another door, with other Romans,
Titus Andronicus	1	1	2	direction	sound		Flourish.
Titus Andronicus	1	1	3	direction	sound		Drums, and Trumpets.
Titus Andronicus	1	1	4	speech	verse	Saturninus_Tit	Noble patricians, patrons of my right,
Titus Andronicus	1	1	5	speech	verse	Saturninus_Tit	Defend the justice of my cause with arms.
Titus Andronicus	1	1	6	speech	verse	Saturninus_Tit	And countrymen, my loving followers,
Titus Andronicus	1	1	7	speech	verse	Saturninus_Tit	Plead my successive title with your swords.
Titus Andronicus	1	1	8	speech	verse	Saturninus_Tit	I am his firstborn son that was the last
Titus Andronicus	1	1	9	speech	verse	Saturninus_Tit	That wore the imperial diadem of Rome.
Titus Andronicus	1	1	10	speech	verse	Saturninus_Tit	Then let my father’s honors live in me,
Titus Andronicus	1	1	11	speech	verse	Saturninus_Tit	Nor wrong mine age with this indignity.
Titus Andronicus	1	1	12	speech	verse	Bassianus_Tit	Romans, friends, followers, favorers of my right,
